nama,bintang,komentar,Waktu,Place name
Nazwa Nabil Channel,5.0,Cantik pemandangannya karyawannya ramah ramah,a month,Bobocabin Pangalengan Bandung
fuji medina95,5.0,,a month,Bobocabin Pangalengan Bandung
Muhammad Verdiansyah,5.0,,a month,Bobocabin Pangalengan Bandung
Litany Tiara Novianti,5.0,"Pengalaman menginap yang sangat menyenangkan di bobocabin Pangalengan.
Dapet cabin yang lokasinya strategis: view dari jendelanya bagus banget.
Fasilitas juga ok, kamar mandinya di dalam.
Airnya bersih.",a month,Bobocabin Pangalengan Bandung
Eka Daniati,4.0,,a month,Bobocabin Pangalengan Bandung
The Wan One,5.0,Tempat ideal untuk penyembuhan mode staycation.. Di sini sangat menikmati ketenangan & pemandangan alam. …,a month,Bobocabin Pangalengan Bandung
Nurila Apriliani,5.0,"Tempat yang bagus untuk staycation, sejuk dan tenang, tapi dingin sekali, wifi berfungsi dengan baik",a month,Bobocabin Pangalengan Bandung
re Karwati,4.0,,a month,Bobocabin Pangalengan Bandung
Uncal Henry,5.0,dingiiiiinn bangeeett.. mantaaaaabb.. hujan terus tapi hari ini.. sepanjang hari..,a month,Bobocabin Pangalengan Bandung
Muhammad Fauzan,5.0,Apotik tutup,a month,Bobocabin Pangalengan Bandung
Erick Wellem,5.0,,a month,Bobocabin Pangalengan Bandung
Wanda Meira,5.0,"Pemandangan nya bagus , kamar nya bersih , makanan nya enak , staff nya ramah sigap terimakasih pelayanan nya , cocok untuk menikmati keindahan alam.",a month,Bobocabin Pangalengan Bandung
Bagus Efendi,2.0,"Lokasi nya cukup jauh dari jalan utama bandung-pengalengan sekitar 1 jam, cabin ada di area atas (executive dan familiy), utk deluxe semua dibawah,  utk pesan kamar kita tidak bisa request (katanya sudah by system) jadi ya boleh jadi dapat …",a month,Bobocabin Pangalengan Bandung
Yunita 8 fashion,5.0,,a month,Bobocabin Pangalengan Bandung
Budi Rachmansyah,5.0,,a month,Bobocabin Pangalengan Bandung
kimberly Paliling,4.0,Banyak lalat (karena musim kemarau). Kucing² banyak mengganggu. Kamarnya lumayan bersih. Pintunya kadang suka bermasalah.,a month,Bobocabin Pangalengan Bandung
Andreas Yosefus,5.0,"Sangat bagus, sangat direkomendasikan",a month,Bobocabin Pangalengan Bandung
Isti Adah,5.0,,a month,Bobocabin Pangalengan Bandung
Ridzwan Taufik,5.0,"Suasananya enak banget, lokasi sama akses jalan aman untuk dikendarai roda 4. Room dan fasilitas juga terakomodir dengan baik.",2 months,Bobocabin Pangalengan Bandung
erni johan,5.0,,2 months,Bobocabin Pangalengan Bandung
Fadilah Motor,5.0,,2 months,Bobocabin Pangalengan Bandung
Leman Sanjaya,1.0,,2 months,Bobocabin Pangalengan Bandung
Rizal Fahrul Roji,5.0,,2 months,Bobocabin Pangalengan Bandung
ALVIN RUSDI AL KHAIRI,5.0,"Wah, tempatnya bagus banget buat menginap bareng keluarga, pacar, atau sahabat.
Kamar, pelayanan, dan pemandangannya bagus banget!
Tapi, menurutku bakal lebih bagus kalau bantalnya banyak (bukan cuma 2) 😬 …",2 months,Bobocabin Pangalengan Bandung
Pernah Bobo Sini,5.0,"Bagus banget view-nya kebun teh Pangalengan.  Fasilitas di dalam kabin memadai, minus ga ada TV tapi wifi lumayan kencang. Ada area communal space juga. Sebaiknya sedia cemilan karena minimarket lumayan jauh dari sini.",2 months,Bobocabin Pangalengan Bandung
Rindita AP,5.0,"Pemandangannya bagus sekali, kamarnya juga nyaman, cocok untuk liburan keluarga",2 months,Bobocabin Pangalengan Bandung
Dwiki Darmawan,5.0,"Sejauh ini, ini yang paling jauh.. enak tempatnya, no komplen sih",2 months,Bobocabin Pangalengan Bandung
Gisti Cantika,5.0,"Tempat menginap yang sangat menyenangkan, tenang, pemandangannya indah, udara yang sejuk, cabinnya nyaman terbuat dari kayu dan dirancang sedemikian rupa sehingga agak mengurangi dinginnya pegunungan Pangalengan di malam hari, selimutnya …",2 months,Bobocabin Pangalengan Bandung
Iin R.,5.0,"Selalu sukaaaa dengan bobocabin.
Tempatnya selalu memberikan pemandangan yang bikin adem, back to nature, walaupun tetap modern tempat tidurnya dan tentunya wc nya. Bobocabin pengalengan sangat …",2 months,Bobocabin Pangalengan Bandung
Aryo Pratama,1.0,Gabisa request kamar. bad view,2 months,Bobocabin Pangalengan Bandung
Erwin Gunawan,4.0,Enak diapit banyak gunung-gunung,2 months,Bobocabin Pangalengan Bandung
ryan aziz,5.0,suasana penginapannya enak banget. sangat menyenangkan bisa stay di bobocabin pangalengan.,2 months,Bobocabin Pangalengan Bandung
Trip.com Member,4.1,"Menginap di sini merupakan pengalaman baru bagi kami, merasakan udara segar yang sesungguhnya. Anak-anak sangat senang. Pastinya, kami akan kembali lagi dengan anggota keluarga yang lebih banyak :)",2 months,Bobocabin Pangalengan Bandung
Ajun Lesmana,4.0,,2 months,Bobocabin Pangalengan Bandung
Dody Maha,5.0,"Akses ke lokasi sudah bagus, cuma kalau malam hari, jumlah penerangan jalannya sangat minim …",2 months,Bobocabin Pangalengan Bandung
Blossom cute,5.0,,2 months,Bobocabin Pangalengan Bandung
wilujeng pujasari,4.0,"Staycation di sini pada bulan Januari 2024, pas banget lagi musim hujan. Waktu tempuh dari Kota Bandung sekitar 1,5 sd 2 jam. Masuk perkampungan dan tembus ke daerah perkebunan teh. Akses nya memang agak sulit apalagi bagi tamu yang tidak …",2 months,Bobocabin Pangalengan Bandung
Angga FN,5.0,"Hi bobobox.

Terima kasih sudah membuat tempat sebagus ini buat healing, apalagi dapet kamar …",2 months,Bobocabin Pangalengan Bandung
Bemz Cusam,5.0,,2 months,Bobocabin Pangalengan Bandung
Elvira Maria,5.0,Juara lah ini view nya.. cuma memang nggak bisa pilih cabin no berapa ya ? Pdhal cabin no 25 atau 26 best view banget...,2 months,Bobocabin Pangalengan Bandung
Siti Fatimah,5.0,,2 months,Bobocabin Pangalengan Bandung
Abu Harits,5.0,Pemandangan perkebunan teh dan pegunungan luar biasa masya Allah tabarakallah. Keagungan Allah ta'ala sangat terasa di sini seiring dengan betapa kecilnya kita dan permasalahan yang kita hadapi dibandingkan dengan nikmat Allah ta'ala. Alhamdulillah...,2 months,Bobocabin Pangalengan Bandung
miranda warokka,5.0,kabin terbaik!,2 months,Bobocabin Pangalengan Bandung
Endang Setiawan,5.0,"Saya sangat menyukainya, seperti pemandangan. Defendly akan segera kembali......",2 months,Bobocabin Pangalengan Bandung
Junita,5.0,"Tempat liburan yang asik dan dingin.. bisa main Arum jeram, ATV seru di perkebunan teh yang sejuk. susah nyari makanan enak 🤣😅,...",2 months,Bobocabin Pangalengan Bandung
gina ayu lestari,5.0,,3 months,Bobocabin Pangalengan Bandung
Yuni Yanty,4.0,"Bagus tempatnya dingin, konsep penginapan dengan pemandangan kebun . Pemesanan by aplikasi bobobox. Cocok bangat buat liburan bersama keluarga.",3 months,Bobocabin Pangalengan Bandung
Inyo Kusoy IDM,5.0,"Salah satu Bobocabin terbaik, lebih luas dan lebih bersih. Landscape viewnya menawan, tidak macet, sangat baik buatacara keluarga santai, barbeque, api unggun, trekking atau stay cation. Sangat di rekomendasi bawa makanan yg cukup 😇 …",3 months,Bobocabin Pangalengan Bandung
Dadi Wardiman,5.0,,3 months,Bobocabin Pangalengan Bandung
Trip.com Member,5.0,Lokasi sangat bagus dan pemandangannya bagus untuk bepergian bersama keluarga dan teman,3 months,Bobocabin Pangalengan Bandung
Naala Rizkiyatus Tsaniyah,5.0,,3 months,Bobocabin Pangalengan Bandung
Noko Sumiarso,5.0,"Kesini 11 Maret 2024, harusnya jadwal checkin pkl 14.00 tapi ruangan baru siap pukul 15.00. Tapi tidak apa2, karena biasanya jam 11.00 sudah dioprak2 buat checkout tapi ini tidak :) …",3 months,Bobocabin Pangalengan Bandung
Flabianus Andreanto,5.0,Cabon yang luar biasa dengan pemandangan kebun teh yang menakjubkan.,3 months,Bobocabin Pangalengan Bandung
Rachmad Bagus,5.0,"Saya pertama kali menginap disini dalam rangka workcation di Pangalengan, Jawa Barat. …",3 months,Bobocabin Pangalengan Bandung
Albertja 1212,2.0,"Cek in harus download aplikasi, register senditri, fotoin KTP sendiri. Hadeuh untuk harga segitu di hotel lain mah dilayani, tau beres tinggal nunggu kartu akses. …",3 months,Bobocabin Pangalengan Bandung
Teguh Sudarmanto,3.0,"Tempatnya luar biasa di tengah perkebunan teh. Tapi, kamarnya tidak sesuai harapan karena saya menerima kamar nomor 1 yang lokasinya paling pojok dan tidak ada pemandangan padang rumput teh yang bagus. Saya sedang menunggu untuk check-in setelah jam 2 siang itu…",3 months,Bobocabin Pangalengan Bandung
Naila Farhana,2.0,,3 months,Bobocabin Pangalengan Bandung
Ergi Fachrezi,2.0,"Bener bener kecewa sih, ekspetasi tuh pemandangannya kaya bagus bgtt tp dapet kamarnya yg pemandangannya kaya kebun belakang rumah biasa. Katanya random by sistem oke lah ya tp ga rata bgt ada yg dapat pemandangan bagus ada jg yg dapet …",3 months,Bobocabin Pangalengan Bandung
Ayu Aristia,5.0,"pertama kali nginep di bobocabin pangalengan :
masyaAllah viewnya cantik sekali.
udara bersih & sejuk. …",3 months,Bobocabin Pangalengan Bandung
Abah Hadi,5.0,,4 months,Bobocabin Pangalengan Bandung
Moch Rifky,5.0,,4 months,Bobocabin Pangalengan Bandung
Jero Mangku Suwono,5.0,,4 months,Bobocabin Pangalengan Bandung
Yulli Yanti,5.0,Waw pokonya. Kirain saya nginep D glemfung dingin eh ternyata angkut,4 months,Bobocabin Pangalengan Bandung
Tb ali barata,5.0,Semalam saja good place,4 months,Bobocabin Pangalengan Bandung
Syafruddin RB,5.0,"Bagus, bersih n nyaman.
Perlu ada fasilitas ibadah [musholla].",4 months,Bobocabin Pangalengan Bandung
Vini Adeline,5.0,"Stay di Bobocabin Pangalengan tanggal 14 Feb 2024, booking dari aplikasi Bobobox krna harganya lebih murah. …",4 months,Bobocabin Pangalengan Bandung
Supikir Haryanto,5.0,,4 months,Bobocabin Pangalengan Bandung
M Wildan Agustian,4.0,,4 months,Bobocabin Pangalengan Bandung
Nanda Puspa,2.0,"The view and the room are okay. Tapi yg bikin sebel pas pesen makan hampir semua yg saya pesen gaada. Dan ini jauh dr mana2, gabisa pesen makan selain makan dari sini. Padahal di menu banyak bgt pilihan makannnya (makanya saya gak bawa …",4 months,Bobocabin Pangalengan Bandung
edot inked,5.0,,4 months,Bobocabin Pangalengan Bandung
drg Sari Wulandari,5.0,Sukaak bgt anak2 jg senang,4 months,Bobocabin Pangalengan Bandung
Alvyn Destrada,5.0,Tempat rekomended buat berkembang biak dan bercocok tanam😋 …,4 months,Bobocabin Pangalengan Bandung
Dee,5.0,Pemandangan menakjubkan,4 months,Bobocabin Pangalengan Bandung
Fajar Prase,5.0,,4 months,Bobocabin Pangalengan Bandung
Roni Feriawan,5.0,,4 months,Bobocabin Pangalengan Bandung
Rizqi Fajr,5.0,,4 months,Bobocabin Pangalengan Bandung
Angelin Sutendi,5.0,,4 months,Bobocabin Pangalengan Bandung
farhan salman,5.0,,4 months,Bobocabin Pangalengan Bandung
Ikbal muhamad,5.0,,4 months,Bobocabin Pangalengan Bandung
Bondan Nugroho,5.0,Mantaapp 👍🏻 …,4 months,Bobocabin Pangalengan Bandung
Nur Aqidah Rahmawati,5.0,,5 months,Bobocabin Pangalengan Bandung
Adi Susanto,5.0,,5 months,Bobocabin Pangalengan Bandung
buru- buru-com,5.0,,5 months,Bobocabin Pangalengan Bandung
edot inked,5.0,,5 months,Bobocabin Pangalengan Bandung
Murohmah iam,5.0,,5 months,Bobocabin Pangalengan Bandung
Erdi Chaidir,5.0,,5 months,Bobocabin Pangalengan Bandung
Fia Ody,5.0,"bobocabin pangalengan adalah kabin pertama yang saya tinggali dan memiliki pengalaman yang meninggalkan kesan mendalam bagi saya. stafnya super duper ramah, lingkungan sangat bagus karena berada di tengah kebun teh. Kabin cukup lengkap, ada pengering rambut di …",5 months,Bobocabin Pangalengan Bandung
Bagas Revaldi,5.0,,5 months,Bobocabin Pangalengan Bandung
Muharam Bayu Tri NUGROHO,5.0,,5 months,Bobocabin Pangalengan Bandung
Sadam Ali Zayn,5.0,first time kesini langsung dapet cabin best viewnya 🤪🤪🤪 …,5 months,Bobocabin Pangalengan Bandung
Fitri Siti Rahmah,3.0,lampu kabin 2 mati tepat setelah malam tahun baru 2023,5 months,Bobocabin Pangalengan Bandung
wvnxp_,4.0,"Kelihatannya menyenangkan, karena saya baru melihatnya.",5 months,Bobocabin Pangalengan Bandung
예니 타yeyen,5.0,,5 months,Bobocabin Pangalengan Bandung
Liliani,2.0,,5 months,Bobocabin Pangalengan Bandung
Ricky Zulfandi,5.0,"Pengalaman menginap yang luar biasa di sini untuk tujuan bisnis saya. Kabinnya luas, berteknologi tinggi, BBQnya enak. Pelayanan stafnya luar biasa. Pasti akan segera kembali.",5 months,Bobocabin Pangalengan Bandung
Wahyudi Wahyudi,5.0,,5 months,Bobocabin Pangalengan Bandung
dania sasqia,5.0,,5 months,Bobocabin Pangalengan Bandung
andi theo,5.0,,5 months,Bobocabin Pangalengan Bandung
Rendy Pranadithya,5.0,,5 months,Bobocabin Pangalengan Bandung
yeckastoro januwisesa,1.0,"Pesan makanan beef yakiniku instan
Mengecewakan nasinya masih tekstur beras, kamar mandi waktu pertama masuk bau pesing",5 months,Bobocabin Pangalengan Bandung
Harsanto Hosman,5.0,,5 months,Bobocabin Pangalengan Bandung
tri wulandari,5.0,Tempat yang bagus dan lokasinya luar biasa!!!,5 months,Bobocabin Pangalengan Bandung
Mamah Nasri,5.0,,5 months,Bobocabin Pangalengan Bandung
wahyu muhamad,4.0,Tempat yg cocok untuk mencari ketenangan,5 months,Bobocabin Pangalengan Bandung
Marbio Bio,4.0,"Pemandangannya indah ditengah kebun teh, hawanya sejuk. Mantap buat refresing.",6 months,Bobocabin Pangalengan Bandung
Tekun Channel Abdul Karim,3.0,,6 months,Bobocabin Pangalengan Bandung
Abdus Salam Salam,4.0,Lokasi ok.dingiiin.viunya bagus jg,6 months,Bobocabin Pangalengan Bandung
Ungke Aldy,5.0,Kreeen daaahh,6 months,Bobocabin Pangalengan Bandung
Qosansan San,5.0,,6 months,Bobocabin Pangalengan Bandung
michael aldryan,5.0,Pengalaman terbaik tinggal di tengah ladang teh! Petualangan bertemu kemewahan!,6 months,Bobocabin Pangalengan Bandung
Evo Desy Afstary,5.0,Sangat nyaman buat kel liburan...,6 months,Bobocabin Pangalengan Bandung
Joshua Eka,5.0,,6 months,Bobocabin Pangalengan Bandung
Rifki Fauzan Reza,3.0,Tempat yang bagus dengan pemandangan. Tapi saya tidak akan menginap lebih dari 1 malam per perjalanan. Hiburan di kamar kurang dan wifi sangat buruk. …,6 months,Bobocabin Pangalengan Bandung
RACING GAMING,4.0,,6 months,Bobocabin Pangalengan Bandung
Koko Sukisno,5.0,,6 months,Bobocabin Pangalengan Bandung
Andro Meda,5.0,Asli sudah dingin dan indah,6 months,Bobocabin Pangalengan Bandung
Lilis Kebaya,5.0,tempat nya para bobo boy. berimajinasi..pelayanan ramah. sopan murah senyum. pemndangan super duper nice..,6 months,Bobocabin Pangalengan Bandung
Fatimah,5.0,,6 months,Bobocabin Pangalengan Bandung
Totto nang,5.0,"Penginapan dgn view alam pegunungan, enak banget buat yg liburan ingin cari ketenangan dari penat nya  kota, lokasi nya diatas daerah pengalengan dari bawah ke atas kurang lebih 1jam",6 months,Bobocabin Pangalengan Bandung
Dian Inggrawati,4.0,"Tempatnya paling sepi dan suasananya sepi,, bisa jalan-jalan kemana saja..",6 months,Bobocabin Pangalengan Bandung
OSAKA Motor,5.0,,6 months,Bobocabin Pangalengan Bandung
Sami Aji,5.0,,6 months,Bobocabin Pangalengan Bandung
Lutfie rahman,1.0,"Karena satu dan lain hal gua cancel pesanan gua, klj memang ga bisa refund paling ga reschedule tpi katanya mengikuti SOP perusahaan bla...bla..bla.ga bisa,..bullshiit, sekelas hotel bintang pun masih bisa di reschedule, klo memang bisa di …",6 months,Bobocabin Pangalengan Bandung
Syam Sie Yach _,4.0,,6 months,Bobocabin Pangalengan Bandung
Zainal Abidin,5.0,,6 months,Bobocabin Pangalengan Bandung
Anen Edison,5.0,,6 months,Bobocabin Pangalengan Bandung
Rian Rinaldi,4.0,"Jika Anda mencari tempat terpencil dan terpencil untuk mendapatkan tidur yang layak, tempat ini jelas merupakan tempat yang sempurna. Dengan kondisi alam sekitar perkebunan teh dan jaraknya yang jauh dari jalan raya, tentunya tempat ini memiliki…",6 months,Bobocabin Pangalengan Bandung
Anesia Anggraeni,4.0,"Lokasi ditengah hamparan perkebunan teh yang indah dengan suhu yang dingin memasuki sore dan malam hari. Kamar yang didapatkan acak sehingga jika dapat nomer kabin 30an lokasinya kurang oke di pojok, susah sinyal dan sedikit sulit connect …",6 months,Bobocabin Pangalengan Bandung
Ramdinal Aviesena Zairinal,5.0,,6 months,Bobocabin Pangalengan Bandung
Annasya Putri,3.0,lalatnya sangat banyak dan mengganggu,6 months,Bobocabin Pangalengan Bandung
Rianti Rahmawati Agustin,5.0,,6 months,Bobocabin Pangalengan Bandung
Jody Surendra,1.0,"Tidak ada akses jalan untuk kursi roda/stroller di kelas bobocabin. semuanya masih berupa tangga. kalau dapat kamar 30 atau lebih, sudah siap, bisa bawa anak-anak atau orang tua. naik turun tangga itu jauh...",6 months,Bobocabin Pangalengan Bandung
Tama Goo,5.0,"Awalnya ga sengaja liat bobocabin krena dri perjalanan taman langit ke ciwidey via pangalengan motoran 🤭 stelah hari itu balik ke kota bandung eh makin penasaran ama bbocabin, coba cek kamar utk besok dan msh trsedia lgsg booking dan besok …",6 months,Bobocabin Pangalengan Bandung
Anshory aang,5.0,,6 months,Bobocabin Pangalengan Bandung
Diazrai Vergiawan,5.0,,6 months,Bobocabin Pangalengan Bandung
Toko Pego,4.0,"Tempatnya Bagus , di tengah kebun teh. Namun staff juga ramah, perjalanan bulan desember lalat nya luar biasa banyak. Utk service makanan dari warlok cukup lama sampai, utk pesanan bbq on time. Activity nya ga kecoba karena guidenya ga dateng"" 2x panggil 2x gagal .",6 months,Bobocabin Pangalengan Bandung
Faisal Amarulah,5.0,,7 months,Bobocabin Pangalengan Bandung
Ririn Dwiwachyuni,5.0,"Sangat² menikmati moment disini, healing and relaxing nya dapet. Semoga next journey, Lalatnya menghilang. Usul aja si, awalnya pake Lilin aromatherapy di kamar, atau pakai Jeruk+Garam Krosok+Cengkih bisa menghilangkan hal tersebut.",7 months,Bobocabin Pangalengan Bandung
Wisnu Nurbiadi,5.0,"Bagus, suasananya tenang dan sejuk, bagaimana kalau malam dingin, fasilitas lengkap worth it dengan harga segitu, padahal aksesnya lumayan bagus.",7 months,Bobocabin Pangalengan Bandung
Ilhaminingsih Soerjadi,5.0,,7 months,Bobocabin Pangalengan Bandung
ANDIKA HADI,2.0,Lokasi nyaman kamar bersih..toilet juga bersih..view kebun teh sangat bagus...namun sungguh prihatin sekali dengan pasukan lalat yg jumlahnya ratusan ribu ekor..tanpa ampun...sampai masuk kedalam kamar...petugas hotel juga ga bisa berbuat …,7 months,Bobocabin Pangalengan Bandung
Riva Ananta Baskara,5.0,,7 months,Bobocabin Pangalengan Bandung
farah fauziah,5.0,"Overall dari segi pelayanan dan lokasi sangat memuaskan.. Ditengah hamparan kebun teh yang luar biasa indah. But, need concern more about flies and insects. Karna sangat mengganggu kenyamanan, seharusnya ada pest control or anything.. Lalat dan serangganya sampai masuk kedalam kamar.",7 months,Bobocabin Pangalengan Bandung
jatmika 33,5.0,,7 months,Bobocabin Pangalengan Bandung
Anggi Wibawa,5.0,"Tempat menginap yang nyaman, dan penamandangan yang bagus",7 months,Bobocabin Pangalengan Bandung
Bang Ijo Wee,5.0,Besar,7 months,Bobocabin Pangalengan Bandung
tito arrya gaotama,4.0,,7 months,Bobocabin Pangalengan Bandung
arief rachmat Fauzi,3.0,"tempatnya bagus, memanjakan mata, hidung, dan paru2 😅
pagi2 kami jalan2 di kampung dgn anak2, melihat suasana desa.. masyarakat/warga jg ramah dan sopan, anak2 sd jg ramah2, ada beberapa hewan liar seperti kumbang, …",7 months,Bobocabin Pangalengan Bandung
Merry Liu,5.0,"wowww...enak banget sih, kamar nya super keren dengan smart glass window nyayg bs diatur kecerahannya, ada blutut, music B pad nya...suasana kebun teh yg menyegarkan, bangun pagi view nya super memanjakan mata...",7 months,Bobocabin Pangalengan Bandung
Citra Fdilasari,1.0,"pelayanan buruk buruk, ketika kami tiba belum waktunya check-in, kami menunggu sampai waktu check-in. pas mau nanya kita minta nunggu dulu, trus ada tamu lagi yang langsung nanya atas nama siapa, apa!! benar-benar keren …",7 months,Bobocabin Pangalengan Bandung
BERKAH WALUNGAN CHANNEL,5.0,Tempat Nyaman dan bersih Fasilitas oke,7 months,Bobocabin Pangalengan Bandung
Mohamad Fahri Ramadhan,4.0,"Tempat yang bagus, pelayanan prima.

Hanya banyak Lalat... …",7 months,Bobocabin Pangalengan Bandung
erce collection,4.0,,7 months,Bobocabin Pangalengan Bandung
Glendy Yang,4.0,"Tempat yang benar-benar indah untuk dihabiskan bersama teman-teman untuk melarikan diri dari kehidupan kota.
Kamarnya bersih tapi banyak lalat dan serangga. Seandainya ada yang lengket…",7 months,Bobocabin Pangalengan Bandung
Feri Rindanu,2.0,Ini sebenarnya bukan Komplain cuma masukan saja untuk pelayanan lebih baik lagi . Untuk Staf House Keeping Sangat Ramah Kami datang saat Hujan langsung di jemput pakai Payung . Barang2 dibantu untuk dibawakan . Proses Check in walau ada …,7 months,Bobocabin Pangalengan Bandung
cintia andini,5.0,,7 months,Bobocabin Pangalengan Bandung
『MADDAZ6661』,4.0,,7 months,Bobocabin Pangalengan Bandung
Nina Yoannita,5.0,,7 months,Bobocabin Pangalengan Bandung
Putri,5.0,"bintang 10/10 pokoknya.

tempt ini cocok untuk orang2 yang suka ketenangan dan ga disarankan banget untuk …",7 months,Bobocabin Pangalengan Bandung
Masukan nama Anda,5.0,Seruu,7 months,Bobocabin Pangalengan Bandung
Deden Ues Supriyadi,5.0,Cocok untuk refreshing bersama keluarga,8 months,Bobocabin Pangalengan Bandung
Ujang Gopur,5.0,,8 months,Bobocabin Pangalengan Bandung
Robinhood Excellent,5.0,,8 months,Bobocabin Pangalengan Bandung
Ozymandias,5.0,Ingin kembali secepatnya,8 months,Bobocabin Pangalengan Bandung
adhitama ilham,5.0,,8 months,Bobocabin Pangalengan Bandung
Foodlover,5.0,Sayang bgt yang executive pandangannya ga sebagus cabin bawah. Kalau mau dapet best view lebih baik pilih cabin 25 -30 yang ada fibawah karna pamdangamnya lamgsung ke kebun teh,8 months,Bobocabin Pangalengan Bandung
Yofi Fernandho,5.0,,8 months,Bobocabin Pangalengan Bandung
Paul Elaman,5.0,,8 months,Bobocabin Pangalengan Bandung
Marintan Eviany,5.0,"Dua kali kesini siang sama sore, enakan KLO sore tidak terlalu ramai, dan sejuk udaranya sudah tidak panas juga.",8 months,Bobocabin Pangalengan Bandung
HANA KARINA YUNITA,5.0,,8 months,Bobocabin Pangalengan Bandung
Muhammad Alman,5.0,Enak,8 months,Bobocabin Pangalengan Bandung
ranu raka siwi,5.0,,8 months,Bobocabin Pangalengan Bandung
Senita Channel,5.0,"Kamarnya sangat bagus, bersih. Pemandangan dari kamar sangat indah!!
Tempat yang sangat bagus untuk bersantai dan menikmati alam. Banyak pemandangan yang bagus untuk mengambil foto🤩 Stafnya ramah.  Apa yang harus dilakukan di malam hari adalah bbq di depan kamar Anda adalah bbq tetapi ada baiknya membawa makanan sendiri. Tempat ini direkomendasikan!!👍👍👍 …",8 months,Bobocabin Pangalengan Bandung
Wahyudi Wahyu,5.0,,8 months,Bobocabin Pangalengan Bandung
David OCTA RENGGA,5.0,"Salah satu tempat menginap yang cocok buat healing, berada di tengah kebun teh. Akses menuju lokasi via pangalengan cukup sepi dan aman. Bobocabin menyuguhkan sensasi menginap dekat dengan alam. …",8 months,Bobocabin Pangalengan Bandung
Mukhminul Ikhwan,5.0,,8 months,Bobocabin Pangalengan Bandung
NOVAN RAMADHAN,5.0,Cocok buat yg pengen nyantai ngadem di bandung,8 months,Bobocabin Pangalengan Bandung
Andi Eral,5.0,,8 months,Bobocabin Pangalengan Bandung
Faisal Amini,5.0,Bagus pemandangannya.,8 months,Bobocabin Pangalengan Bandung
Adhitya,4.0,"Masih relatif baru sehingga kabin masih bersih, area bagus pemandangan indah. Masih banyak lalat di sekitar cabin. Speed wifi bagus tapi koneksi masih suka terputus",8 months,Bobocabin Pangalengan Bandung
Indah,5.0,Pemandangan dan layanan bagus,8 months,Bobocabin Pangalengan Bandung
Yusuf Bahtiar,4.0,,8 months,Bobocabin Pangalengan Bandung
Nutria Devi Pratamasari,4.0,Pertama kali saya kesini dari arah Ciwidey dan melewati jalan yang bisa memuat dua mobil namun cukup sempit. Lanjutkan melewati perkebunan teh dan akhirnya tiba! parkirannya luas dan udara disini dingin banget padahal baru sampai jam 2..,8 months,Bobocabin Pangalengan Bandung
Bimo Baskoro,5.0,"Suasana, staff, pelayanan semua terbaik.",8 months,Bobocabin Pangalengan Bandung
PYA,4.0,"Kamar atas.
Lokasinya bagus, jalan menuju lokasi juga bagus.
Mungkin fasilitas di lokasi bisa ditingkatkan. Terutama untuk anak-anak. …",8 months,Bobocabin Pangalengan Bandung
Dolan Wae,5.0,"Satu kata: Cakep

Tempat yang cakep ditambah dengan penginapan yang nyaman dan futuristik jadi …",8 months,Bobocabin Pangalengan Bandung
hanny pebrian,5.0,,8 months,Bobocabin Pangalengan Bandung
Teuku Fahreza,2.0,"Kamarnya sangat bagus, namun sayang pelayanan buruk. Disarankan untuk bawa makanan sendiri dari luar krn banyak makanan yg tidak ready seperti di menu. Terlihat seperti kekuarangan staff",8 months,Bobocabin Pangalengan Bandung
Yen Yen,5.0,"Luar biasa!
Tempatnya sejuk, sejuk dan indah!
Tidak apa-apa untuk berkumpul dengan teman dan keluarga!",8 months,Bobocabin Pangalengan Bandung
Risty Andini putri,4.0,"Nginep 2 hari, hari pertama dapet kamarnya 32 lumayan jauh turun kebawah akhirnya minta ke kamar 25 dan bisa alhamdulillah.
Best view, dari segi pelayanan ramah semuanya, enak pokoknya minusnya cuma harga …",9 months,Bobocabin Pangalengan Bandung
M.indra Panca putra,5.0,,9 months,Bobocabin Pangalengan Bandung
Kurniawanland347 “Kurniawan” Kurnia Flowers,5.0,Tempat Terbaik di Pangalengan,9 months,Bobocabin Pangalengan Bandung
Welly Wiryanto,4.0,,9 months,Bobocabin Pangalengan Bandung
This Is NdhoNatiions Musick (GEN_EP),5.0,,9 months,Bobocabin Pangalengan Bandung
Atte Supriatna,5.0,,9 months,Bobocabin Pangalengan Bandung
Fattiwel Siahaan,5.0,,9 months,Bobocabin Pangalengan Bandung
Emilia Kuway (Emil),2.0,,9 months,Bobocabin Pangalengan Bandung
rangga damas,5.0,"bobocabin ditengah kebun teh! bonfire and grill vibesnya tenang bgt, fasilitas cabin lengkap yaa walaupun pesen ini itu lama karena cabin saya paling ujung",9 months,Bobocabin Pangalengan Bandung
Ernalia Rosita,3.0,"Sudah biasa ke bobocabin dan seperti biasa, bobocabin selalu memanjakan mata dengan tempat dan viewsnya yang cocok untuk staycation. Untuk yang pangalengan ini masyaAllah viewsnya cantik sekali. …",9 months,Bobocabin Pangalengan Bandung
Yanriski Stiasih,5.0,"Udah sekian kali ke bobocabin. Dan baru coba yang pangalengan.
Dapet kamar best view karena order dari lama via presale..keren!!!
-Staff ramah siap membantu …",9 months,Bobocabin Pangalengan Bandung
Qusri Hafida,5.0,,9 months,Bobocabin Pangalengan Bandung
Husni G Ramadan S.E.,4.0,,9 months,Bobocabin Pangalengan Bandung
Kubay,4.0,Hanya lewat saja,9 months,Bobocabin Pangalengan Bandung
