nama,bintang,komentar,Waktu,Place name,clean_text
Chici Kemala,5.0,Bagus,a year,Bobocabin Coban Rondo Malang,bagus
Nur Bisriah,1.0,"Belum menginap disana karena salah tgl reservasi,jatuhnya pas puasaan, susah meminta bantuan ke pihak bobobox pun tidak bisa..,reschedule tidak di acc.Jadi untuk after salesnya gak OK banget sih,terlalu kaku.Reschedule hanya bisa diterima dengan alasan covid.",a year,Bobocabin Coban Rondo Malang,"belum menginap disana karena salah tanggal reservasi,jatuhnya pas puasaan, susah meminta bantuan ke pihak bobobox pun tidak bisa..,reschedule tidak di acc.jadi untuk after salesnya enggak ok banget sih,terlalu kaku.reschedule hanya bisa diterima dengan alasan covid."
Nani Rochaeni,5.0,"Oke semuanya, tolong dah termasuk tiket masuk",a year,Bobocabin Coban Rondo Malang,"oke semuanya, tolong deh termasuk tiket masuk"
Nazwa Kaila Damayanti,5.0,"Mantap viewnya, staff receptionnya ramah Anisa teima kasih, definitely will come back soon",a year,Bobocabin Coban Rondo Malang,"mantap viewnya, staff receptionnya ramah anisa teima kasih, definitely will come back soon"
Sheva Sudra,5.0,"Best viewnya, roomya bersih, dingin banget mungkin sarannya di tambah penghangat",a year,Bobocabin Coban Rondo Malang,"best viewnya, roomya bersih, dingin banget mungkin sarannya di tambah penghangat"
Tintun Natalia,5.0,"Staff nya ramah, tempat Mantap, bersih, suasananya sejuk ada air terjun dan permainan wisata alam lainnya exclude.

Kalau mau menginap berhubung self service, so bawa baju seperlunya z, dan jangan lupa beli snack sebanyak nya di mini market karena pasti lapar banget cuaca ya dingin jadi bawaan lapar.

Kalau mau menginap, itu di pos satpam langsung kasih karcis merah dan bayar 30 k untuk hanya melihat air terjun.

SARAN : jangan beli karcis merah...

Nanti kalau teman-teman mau menginap minta karcis hijau z y bayar 40 k. sudah masuk menembak, panahan, labirin dan air terjun.

Keren bobocabin",a year,Bobocabin Coban Rondo Malang,"staff nya ramah, tempat mantap, bersih, suasananya sejuk ada air terjun dan permainan wisata alam lainnya exclude.  kalau mau menginap berhubung self service, so bawa baju seperlunya saja, dan jangan lupa beli snack sebanyak nya di mini market karena pasti lapar banget cuaca ya dingin jadi bawaan lapar.  kalau mau menginap, itu di pos satpam langsung kasih karcis merah dan bayar 30 ke untuk hanya melihat air terjun.  saran : jangan beli karcis merah.  nanti kalau teman-teman mau menginap meminta karcis hijau saja ya bayar 40 ke. sudah masuk menembak, panahan, labirin dan air terjun.  keren bobocabin"
A'innafa Idatun N.S,1.0,"Dengan harga yang lumayan, rasanya tidk dapat fasilitas dan pelayanan yang memuaskan, agak kecewa sih, bisa dibilang kurang sekali untuk fasilitas dan pelayanannya. Pelayanannya kurang ramah, sangat lama, kamar sempit, pesan berbbq 2 jam lebih belum diantar juga, masuk juga harus bayar loket lagi, padal harganya 1,4 kirain udh termasuk loket trnyata enggak. Intinya perlu banyak evaluasi untuk cabin ini. Plus nya hanya bagus di view saja, selain itu sangat kurang sekali",a year,Bobocabin Coban Rondo Malang,"dengan harga yang lumayan, rasanya tidk dapat fasilitas dan pelayanan yang memuaskan, agak kecewa sih, bisa dibilang kurang sekali untuk fasilitas dan pelayanannya. pelayanannya kurang ramah, sangat lama, kamar sempit, pesan berbbq 2 jam lebih belum diantar juga, masuk juga harus bayar loket lagi, padal harganya 1,4 mengira sudah termasuk loket ternyata enggak. intinya perlu banyak evaluasi untuk cabin ini. plus nya hanya bagus di view saja, selain itu sangat kurang sekali"
Clifford Iskandar,1.0,The quality of their service is a deal breaker considering their price point isnt cheap.,a year,Bobocabin Coban Rondo Malang,the quality of their service is a deal breaker considering their price point isnt cheap.
Octama Rheza,1.0,Parah,a year,Bobocabin Coban Rondo Malang,parah
Yulia Sumarna,2.0,"Kemarin saya kesana, pas lagi hujan deras semalaman. Pegawai yg bantu bawain koper cuman 1 itupun mesti antri dl. Di jalannya tidak ada kanopi sama sekali. Sampai kabin baju basah kuyup. Mau pesan bbq bingung manggangnya karena hujan deras,request dipanggangkan juga tidak bisa. Tempat parkir jauh dari lokasi jd selama hujan cm bengong aja di cabin. Tidak ada tv,boring banget. Mana cabin yg deluxe jg kecil bgt. Konsepnya sih ok, cm perlu dipikirkan bila hujan gimana solusinya? Mestinya juga disediakan makanan siap saji. Bukan cm makanan instan saja, service kurang memuaskan krn pegawai cm sedikit. SDM kurang memadai.",a year,Bobocabin Coban Rondo Malang,"kemarin saya kesana, pas lagi hujan deras semalaman. pegawai yang bantu bawain koper cuman 1 itupun mesti antri dulu. di jalannya tidak ada kanopi sama sekali. sampai kabin baju basah kuyup. mau pesan bbq bingung manggangnya karena hujan deras,request dipanggangkan juga tidak bisa. tempat parkir jauh dari lokasi jadi selama hujan cuma bengong saja di cabin. tidak ada tv,boring banget. mana cabin yang deluxe juga kecil banget. konsepnya sih ok, cuma perlu dipikirkan bila hujan bagaimana solusinya? mestinya juga disediakan makanan siap saji. bukan cuma makanan instan saja, service kurang memuaskan karena pegawai cuma sedikit. sdm kurang memadai."
dicko fikri,1.0,"lihat review sblm ini, ada yg bilang kalo airnya sering mati. Kirain sih udah ada solusinya atau inovasinya dikasih tandon gitu, EEH TERNYATA GAK ADA DONK!!!
ini aku ngalamin sendiri, AIR MATI DARI JAM 3 PAGI SAMPE HAMPIR JAM 09.30.
dapet kompensasi CUMA 3 BOTOL AIR MINERAL (600 ml), CUKUP LAH YA BUAT MANDI SAMA WUDHU!!!!!
Desain oke lah bagus dgn view diatas tebing dan kota Batu, tp ini konsumen bayar segitu MAHAL bukan cuma buat PINDAH TEMPAT TIDUR DOANK...
duuuuuuhhhhh
INOVASINYA DOOOOOONKK",a year,Bobocabin Coban Rondo Malang,"lihat review sebelum ini, ada yang bilang kalo airnya sering mati. mengira sih sudah ada solusinya atau inovasinya dikasih tandon begitu, eeh ternyata enggak ada dong! ini aku ngalamin sendiri, air mati dari jam 3 pagi sampai hampir jam 09.30. dapat kompensasi cuma 3 botol air mineral (600 ml), cukup lah ya buat mandi sama wudhu! desain oke lah bagus dengan view diatas tebing dan kota batu, tapi ini konsumen bayar segitu mahal bukan cuma buat pindah tempat tidur doang. duh inovasinya dong"
dicko f,1.0,"Air di sini tidak menyala dari jam 3 pagi sampai sy menulis review ini jam 09.15.|sementara cuma dganti 3 botol air mineral (@600 ml), belum dberi kompensasi lanjutan.|Bagaimana ini?|harga trmasuk mahal",a year,Bobocabin Coban Rondo Malang,"air di sini tidak menyala dari jam 3 pagi sampai saya menulis review ini jam 09.15.|sementara cuma dganti 3 botol air mineral (@600 ml), belum dberi kompensasi lanjutan.|bagaimana ini?|harga termasuk mahal"
Sela Put,2.0,"Check in hari ini tanggal 29 udah mulai gelap awalnya staf nya menyambut kami dengan baik tapi sebelumnya maaf nih.  Jujur udah sering nginep sih ke hotel tapi baru pertama kali ini nemuin hotel yang pada saat check in staf resepsionis nya bau alkohol dan bau badan , tolong stafnya cowok ditegur atau diberitau agar tidak terjadi hal gini lagi padahal overall bagus loh kamar dan viewnya tapi yang bikin ngga bagus stafnya sendiri..",a year,Bobocabin Coban Rondo Malang,"check ini hari ini tanggal 29 sudah mulai gelap awalnya staf nya menyambut kami dengan baik tapi sebelumnya maaf nih.  jujur sudah sering nginep sih ke hotel tapi baru pertama kali ini menemukan hotel yang pada saat check ini staf resepsionis nya bau alkohol dan bau badan , tolong stafnya cowok ditegur atau diberitau agar tidak terjadi hal begini lagi padahal overall bagus loh kamar dan viewnya tapi yang bikin enggak bagus stafnya sendiri.."
listyawati 76,5.0,"Baguus bangeeet pemandangannya...
Aku booking yang buat family
Lumayanlah untuk 2 orang dewasa dan 3 anak²
Cukup bersih...
Dan cukup jauh parkirnya😅

Tapi manteeep pemandangannya",a year,Bobocabin Coban Rondo Malang,baguus banget pemandangannya. aku booking yang buat family lumayanlah untuk 2 orang dewasa dan 3 anak² cukup bersih. dan cukup jauh parkirnya😅  tapi mantap pemandangannya
Putra Frista Januar Detta,5.0,Suasana malamnya itu lohh syahduu sekali,a year,Bobocabin Coban Rondo Malang,suasana malamnya itu loh syahduu sekali
Ashari Sutopo,5.0,Mantap cocok buat camping dan hiling merifres otak .,a year,Bobocabin Coban Rondo Malang,mantap cocok buat camping dan hiling merifres otak .
nabila aja,5.0,"Kwren poll
Gk nyesel ksini pokoknya",a year,Bobocabin Coban Rondo Malang,kwren poll enggak menyesal kesini pokoknya
Melissa MW,5.0,"Review time! ⭐️⭐️⭐️⭐️⭐️
Bobo cabin coban rondo, Malang, Batu
@bobocabin

🎖️Location : 5/5
Its just perfect, the view is to die for 🥰
But, make sure you’ve bring all your stuff when checkin bcs the parking lot (for car) too far away.
Anyway, its cold but okay for me, about 18°C.

🎖️Hospitality: 5/5
They are very helpful
Yesterday was raining and they helped us to bring our belongings
I love u mas mbak 🥳

🎖️Facility : 4.5/5
Need to appreciate , general kitchen facility we can use together with another guest
✅ microwave
✅ kitchen sink + soap
❌ stove
❌ refrigerator

In Room Facility :
✅ amenities
✅ water heater
✅ hairdryer
✅ AC
✅ Wi-Fi
✅ Bluetooth speaker
❌ TV
❌ Curtain (smart window system)
Even though there’s no TV but we got a big window to enjoy the view 😍
I had to take notes to “not morning person” : you will wide awake when sunrise, SILAU 😎

💰: i got IDR 887.000/night via agoda (weekend, high season)

However my experience was so GOOOOODDD with bobocabin coban rondo
BUT
i wont give a recommendation to : elders or anyone who had problems with their feet (lots of stair) and kids (jurang bosku)
Please take care of your self and enjoy the experience here 🥳",a year,Bobocabin Coban Rondo Malang,"review time! ⭐️⭐️⭐️⭐️⭐️ bobo cabin coban rondo, malang, batu @bobocabin  🎖️location : 5/5 its just perfect, the view is to die for 🥰 but, memakai sure you’ve bring all your stuff when checkin bcs the parking lot (for car) too far away. anyway, its cold but okay for me, about 18°sih.  🎖️hospitality: 5/5 they are very helpful yesterday was raining and they helped us to bring our belongings i love lu mas mbak 🥳  🎖️facility : 4.5/5 need to appreciate , general kitchen facility we can use together with another guest ✅ microwave ✅ kitchen sink + soap ❌ stove ❌ refrigerator  ini room facility : ✅ amenities ✅ water heater ✅ hairdryer ✅ ac ✅ wi-di ✅ bluetooth speaker ❌ tv ❌ curtain (smart window system) even though there’s no tv but we got a big window to enjoy the view 😍 i had to take notes to “not morning person” : you will wide awake when sunrise, silau 😎  💰: i got idr 887.0/night via agoda (weekend, high season)  however my experience was so god with bobocabin coban rondo but i wont give a recommendation to : elders orang anyone who had problems with their feet (lots of stair) and kids (jurang bosku) please take care of your self and enjoy the experience here 🥳"
Bella Ayu A,4.0,Ga seberapa suka model penginapan kyk gni,a year,Bobocabin Coban Rondo Malang,enggak seberapa suka model penginapan kayak begini
Emeraldo Latief,5.0,New experience with fresh ambience in the middle of forest👍🏻✨️,a year,Bobocabin Coban Rondo Malang,new experience with fresh ambience ini the middle of forest👍🏻✨️
RK S,5.0,"Akhirnya kesampaian juga stay disini. Kalo weekend emg selalu full.
Setelah baca-baca bad experience pengunjung yg lain. Alhamdulillah sama sekali ga ngrasain bad experiencenya.

+staff ramah semua
+angkat koper dan tas dibantuin
+bolak balik ke parkiran dianter securitynya
+sangat cocok untuk menikmati alam dgn viewnya yg luar biasa (sunrise, city light) kebetulan dapet cabin yg tepi jurang
-order suki steamboat kuah tomyum bumbunya kurang, jadi rasa agak hambar hanya pedas saja. Porsi suki sedikit untungnya udah siap bawa tambahan suki dari luar.
-sayangnya harus tetep bayar tiket masuk ke cuban rondo yg lumayan 30k/orang. Yg mau dateng kesini waktu di loket bilang saja mau ke bobocabin.",a year,Bobocabin Coban Rondo Malang,"akhirnya kesampaian juga stay disini. kalo weekend memang selalu full. setelah baca-baca bad experience pengunjung yang lain. alhamdulillah sama sekali enggak merasai bad experiencenya.  +staff ramah semua +angkat koper dan tas dibantuin +bolak balik ke parkiran diantar securitynya +sangat cocok untuk menikmati alam dengan viewnya yang luar biasa (sunrise, city light) kebetulan dapat cabin yang tepi jurang -order suki steamboat kuah tomyum bumbunya kurang, jadi rasa agak hambar hanya pedas saja. porsi suki sedikit untungnya sudah siap bawa tambahan suki dari luar. -sayangnya harus tetap bayar tiket masuk ke cuban rondo yang lumayan 30k/orang. yang mau datang kesini waktu di loket bilang saja mau ke bobocabin."
4677,4.0,"everything abt the place is good

the bad thing abt this place is the overpriced food. they sold pricey foods with bad displays and the food they order from nearby warung and charge 3x the price

staff are polite but not so helfpul. we got to bring our own luggage to the cabin.

other than that everything about this place is simply perfect

5 stars for the view, cabin, nature experience
1 star for food (dont ever order food here)
3 stars for staff",a year,Bobocabin Coban Rondo Malang,"everything abt the place is good  the bad thing abt this place is the overpriced food. they sold pricey foods with bad displays and the food they order from nearby warung and charge 3x the price  staff are polite but not so helfpul. we got to bring our own luggage to the cabin.  other tahan that everything about this place is simply perfect  5 stars for the view, cabin, nature experience 1 star for food (dont ever order food here) 3 stars for staff"
A. Iqbal A.,5.0,"Mantap, cocok buat teman2 yg masa mudanya belum pernah camping. Seperti saya.",a year,Bobocabin Coban Rondo Malang,"mantap, cocok buat teman-teman yang masa mudanya belum pernah camping. seperti saya."
the_Lycons Architecture Interior Surabaya,5.0,Resepsionisnya tanggap sekali ketika saya jatuh dari tangga menuju lobby. Waktu malam ternyata lampu atas kamar ga berfungsi tapi bisa diatasi sama petugasnya. Viewnya keren bangeeett bisa liat pemandangan kota & gunung. Desain kamar modern & dilengkapi dengan IT yg canggih. Suka bgt ada skylightnya bisa liat air hujan sama pohon pinus dari atap. Kamar mandi lengkap ada water heater & hairdryer (camping jd nyaman). Ada bluetooth speakernya juga jadi bikin betah di kamar sambil liat pemandangan.,a year,Bobocabin Coban Rondo Malang,resepsionisnya tanggap sekali ketika saya jatuh dari tangga menuju lobby. waktu malam ternyata lampu atas kamar enggak berfungsi tapi bisa diatasi sama petugasnya. viewnya keren banget bisa lihat pemandangan kota & gunung. desain kamar modern & dilengkapi dengan it yang canggih. suka banget ada skylightnya bisa lihat air hujan sama pohon pinus dari atap. kamar mandi lengkap ada water heater & hairdryer (camping jadi nyaman). ada bluetooth speakernya juga jadi bikin betah di kamar sambil lihat pemandangan.
Miftah H,5.0,Excellent,a year,Bobocabin Coban Rondo Malang,excellent
fahrul roji,5.0,the place is comfortable and cool,a year,Bobocabin Coban Rondo Malang,the place is comfortable and cool
Joe Cherubim,5.0,"Tempatnya bagus dan kualitas kamrnya juga sangat baik, enak banget stay disini dengan pemandangan alam yang asri.. Nice banget pokoknya untuk liburan ke sini .",a year,Bobocabin Coban Rondo Malang,"tempatnya bagus dan kualitas kamrnya juga sangat baik, enak banget stay disini dengan pemandangan alam yang asri.. nice banget pokoknya untuk liburan ke sini ."
sari yunike,5.0,a unique hotel concept with a cabin theme and beautiful views👌,a year,Bobocabin Coban Rondo Malang,a unique hotel concept with a cabin theme and beautiful views👌
Denny Haerudinsyah,5.0,"tempatnya bersih, suasana dan view nya oke bangettt cocok banget buat buat yg pengen refreshing dgn pemandangan alam",a year,Bobocabin Coban Rondo Malang,"tempatnya bersih, suasana dan view nya oke banget cocok banget buat buat yang pengin refreshing dengan pemandangan alam"
Ido Adrianto P,5.0,"Menginap disini bisa sekaligus berwisata, wajib dikategorikan sebagai salah satu hidden gem di malang",a year,Bobocabin Coban Rondo Malang,"menginap disini bisa sekaligus berwisata, wajib dikategorikan sebagai salah satu hidden gem di malang"
Susanto Ade,5.0,Very cool and nice place..,a year,Bobocabin Coban Rondo Malang,very cool and nice place..
Keni Atriana,5.0,"Pelayanannya ramah, staff dan security nya sangat membantu, teknologi canggih banget aman jadinya, best view. Terima kasih atas pelayanannya bobocabin coban rondo.",a year,Bobocabin Coban Rondo Malang,"pelayanannya ramah, staff dan security nya sangat membantu, teknologi canggih banget aman jadinya, best view. terima kasih atas pelayanannya bobocabin coban rondo."
Arie,5.0,Extraordinary place with magnificent view,a year,Bobocabin Coban Rondo Malang,extraordinary place with magnificent view
Sigit Endar Setiawan,5.0,"Beautiful view, finding food is not difficult, really recommend",a year,Bobocabin Coban Rondo Malang,"beautiful view, finding food is not difficult, really recommend"
Mch Roysi,5.0,New experiance 😍,a year,Bobocabin Coban Rondo Malang,new experiance 😍
valent maurahema,5.0,"Great experience stay here. Any barbeque,  suki,  steamboat packages you can buy here .  The cabin is clean,  from the cabin you can see batu city view from the smart window. The staff so friendly make my stay so comfortable.   I suggest you booking family cabin . Will back to bobocabin coban rondo for the next holiday👍👍",a year,Bobocabin Coban Rondo Malang,"great experience stay here. any barbeque,  suki,  steamboat packages you can buy here .  the cabin is clean,  from the cabin you can sih batu city view from the smart window. the staff so friendly memakai my stay so comfortable.   i suggest you booking family cabin . will back to bobocabin coban rondo for the next holiday👍👍"
Primadji Rahutomo,5.0,Nice place for new experience...,a year,Bobocabin Coban Rondo Malang,nice place for new experience.
Emi Pratiwi,5.0,"Cool view, calm, cool atmosphere and will come back!!!!!",a year,Bobocabin Coban Rondo Malang,"cool view, calm, cool atmosphere and will come back!"
Shine Like Sunshine,5.0,"Great place , homey , maybe will be back asap .",a year,Bobocabin Coban Rondo Malang,"great place , homey , maybe will be back asap ."
Dody Satrianto,5.0,Healing 🕊,a year,Bobocabin Coban Rondo Malang,healing 🕊
Ananda Sekar Mayang,5.0,"right place to stay because the room was really cozy, and all the staff that work in here was really kind and humble. Thank you so much for the excellent service",a year,Bobocabin Coban Rondo Malang,"right place to stay because the room was really cozy, and all the staff that work ini here was really kind and humble. thank you so much for the excellent service"
Anastasya Tiwow,5.0,"Bagus banget tempat, suasana, fasilitas nya lengkap. Pokoknya paket lengkap",a year,Bobocabin Coban Rondo Malang,"bagus banget tempat, suasana, fasilitas nya lengkap. pokoknya paket lengkap"
Sartika Handayani Girsang,5.0,"Pelayananya ramah ramah banget, tempatnya cocok untuk ngilangin stres, suasananya tenang jauh dari keramaian 🥰🥰",a year,Bobocabin Coban Rondo Malang,"pelayananya ramah ramah banget, tempatnya cocok untuk menghilangkan stres, suasananya tenang jauh dari keramaian 🥰🥰"
Hsnl Khotimah,5.0,Bersih dan nyaman,a year,Bobocabin Coban Rondo Malang,bersih dan nyaman
laurentika mutiara,5.0,"Worth it dicobaaa,dan puass dengan pelayanannyaaa😍",a year,Bobocabin Coban Rondo Malang,"worth it dicobaaa,dan puass dengan pelayanannyaaa😍"
Choirul Achmad,5.0,"Best new concept hotel. Instagramable , dapet viewnya bagus. Tapi untuk price lumayan, hhh. But, overall it's okey 👍",a year,Bobocabin Coban Rondo Malang,"best new concept hotel. instagramable , dapat viewnya bagus. tapi untuk price lumayan, h. but, overall it's okey 👍"
Milan Riasni,5.0,"Very beautiful view...stay in cabin, open the door use QR code and in the cabin have Bpad for change the color lamp and window blur......",a year,Bobocabin Coban Rondo Malang,"very beautiful view.stay ini cabin, open the door use qr code and ini the cabin have bpad for change the color lamp and window blur."
Rayhan Habib Siddik,5.0,"The experience,service,and the view was really great and im really enjoying my stay at Bobocabin Coban Rondo will definetely come again next time",a year,Bobocabin Coban Rondo Malang,"the experience,service,and the view was really great and im really enjoying my stay at bobocabin coban rondo will definetely come again next time"
Artanja Crew,5.0,"Keren jadi berasa camping tapi dengan fasilitas yang lengkap,dan juga pemandangannya sangat berkualitas top banget",a year,Bobocabin Coban Rondo Malang,"keren jadi berasa camping tapi dengan fasilitas yang lengkap,dan juga pemandangannya sangat berkualitas top banget"
Muhammadyusuf Alazkaa,5.0,"Kamarnya bagus, bersih dan cocok untuk staycation bareng keluarga",a year,Bobocabin Coban Rondo Malang,"kamarnya bagus, bersih dan cocok untuk staycation bareng keluarga"
demmy kaliman,5.0,Very nice and beatiful,a year,Bobocabin Coban Rondo Malang,very nice and beatiful
Shiva Chaerunissa Pandini,5.0,Pelayanannya ok dr awal sampai check out. The best place 💯,a year,Bobocabin Coban Rondo Malang,pelayanannya ok dari awal sampai check out. the best place 💯
Euis Suryani,5.0,"Great view, worth the price, excellent service. Good job",a year,Bobocabin Coban Rondo Malang,"great view, worth the price, excellent service. good job"
Tri haryati,5.0,"Konsep penginapan yang bagus , bersih , udara sejuk , pemandangan yang bagus dan servis yg memuaskan. Harus coba lagi!",a year,Bobocabin Coban Rondo Malang,"konsep penginapan yang bagus , bersih , udara sejuk , pemandangan yang bagus dan servis yang memuaskan. harus coba lagi!"
Muhamad Fathan,5.0,"Pengalaman menginap yg seru , pemandangannya bagus , fresh, bersih, nyaman. Worth it banget!",a year,Bobocabin Coban Rondo Malang,"pengalaman menginap yang seru , pemandangannya bagus , fresh, bersih, nyaman. worth it banget!"
Bima Seta,5.0,"Nemuin tempat staycation yang unik bgttt dan se keren ituu😍😍
View nya bagus banget, tempatnya chill, bersih, luas",a year,Bobocabin Coban Rondo Malang,"menemukan tempat staycation yang unik banget dan se keren itu😍😍 view nya bagus banget, tempatnya chill, bersih, luas"
Galih Ikhsan Koesviandomo,5.0,"Penginapan yang sangat asri sekali, cocok untuk liburan bersama keluarga, bobocabin memang selalu keren 👍",a year,Bobocabin Coban Rondo Malang,"penginapan yang sangat asri sekali, cocok untuk liburan bersama keluarga, bobocabin memang selalu keren 👍"
Rizki AndhikaNegoro,5.0,Keren tempatnya bikin betah,a year,Bobocabin Coban Rondo Malang,keren tempatnya bikin betah
Septian,5.0,"Very excelent ,and view good",a year,Bobocabin Coban Rondo Malang,"very excelent ,and view good"
Dicha Abram,5.0,"What a great stay 👌
Excelllent staff and good service
Hope to comeback stay again here in our next journey!
Thankyou !",a year,Bobocabin Coban Rondo Malang,what a great stay 👌 excelent staff and good service hope to comeback stay again here ini our next journey! thankyou !
Moh rivan Andrian,5.0,Enak adem sesuai harga,a year,Bobocabin Coban Rondo Malang,enak adem sesuai harga
Nico Aditya Pratama,5.0,"Sangat menyenangkan menginap disini, semuanya lengkap dan menarik, konsep nya unik sih beda dengan yg lain, nuansa alam yg bagus sehingga fikiran jernih.
Next time pasti kesini lagi, dan pesan untuk mas mas staff nya, terima kasih ya udah berikan pelayanan terbaik untuk kami sekeluarga",a year,Bobocabin Coban Rondo Malang,"sangat menyenangkan menginap disini, semuanya lengkap dan menarik, konsep nya unik sih beda dengan yang lain, nuansa alam yang bagus sehingga pikiran jernih. next time pasti kesini lagi, dan pesan untuk mas mas staff nya, terima kasih ya sudah berikan pelayanan terbaik untuk kami sekeluarga"
Adriany Yunita,5.0,"I had a great experience staying at this cabin. The clean room, friendly staff, and good view met my expectations. Keep up the good work!",a year,Bobocabin Coban Rondo Malang,"i had a great experience staying at this cabin. the clean room, friendly staff, and good view selamat my expectations. keep up the good work!"
jonet prastowo,5.0,this was the first time staying at a hotel cabin and it turned out to be a place with an extraordinary view.. 🌲🌲🥰🥰,a year,Bobocabin Coban Rondo Malang,this was the first time staying at a hotel cabin and it turned out to be a place with an extraordinary view.. 🌲🌲🥰🥰
Wahyu Ramadhan,5.0,"Pengalaman seru karena suasana menginap yg nyaman,fasilitas juga oke ..
The best 👍👍😍😍😍",a year,Bobocabin Coban Rondo Malang,"pengalaman seru karena suasana menginap yang nyaman,fasilitas juga oke .. the best 👍👍😍"
Dias Shafira,5.0,Great view for healing,a year,Bobocabin Coban Rondo Malang,great view for healing
kadek semarayasa nursada suryanata,5.0,"experience yg sangat menarik menawarkan ketenangan dan suasana yg natural,sejuk karena di kelilingi area hutan pinus tetapi dengan konsep teknologi seperti window blur dengan view langsung mengarah ke kota batu jika dilihat pada malam hari sangat indah dan menyejukkan mata,staff yg ramah dan very wellcome,tidak sabar untuk kembali berlibur disana",a year,Bobocabin Coban Rondo Malang,"experience yang sangat menarik menawarkan ketenangan dan suasana yang natural,sejuk karena di kelilingi area hutan pinus tetapi dengan konsep teknologi seperti window blur dengan view langsung mengarah ke kota batu jika dilihat pada malam hari sangat indah dan menyejukkan mata,staff yang ramah dan very wellcome,tidak sabar untuk kembali berlibur disana"
I WAYAN SUDIANA,5.0,"Good experience,pengalaman menginap di area hutan Pinus dan pegunungan dengan pemandangan kota batu yang sangat indah",a year,Bobocabin Coban Rondo Malang,"good experience,pengalaman menginap di area hutan pinus dan pegunungan dengan pemandangan kota batu yang sangat indah"
I Made Galang Suryawan,5.0,"Pengalaman yang sangat menarik menginap di bobocabin coban rondo suasananya seakan"" Berasa di pegunungan, pemandangannya terlihat seperti kota batu, dan banyak pohon pinusnya. Rekomen banget sih buat kalian yang mau menginap dengan nuansa alam, dan jauh dari kebisingan kota",a year,Bobocabin Coban Rondo Malang,"pengalaman yang sangat menarik menginap di bobocabin coban rondo suasananya seakan"" berasa di pegunungan, pemandangannya terlihat seperti kota batu, dan banyak pohon pinusnya. rekomen banget sih buat kalian yang mau menginap dengan nuansa alam, dan jauh dari kebisingan kota"
Khoirudin Hamdan,5.0,very nice and beautiful place..👍,a year,Bobocabin Coban Rondo Malang,very nice and beautiful place..👍
Putri Arsenics,5.0,its amazingg!!!!! i can't wait to be here again,a year,Bobocabin Coban Rondo Malang,its amazingg! i can't wait to be here again
Khafidzin,5.0,"Semuanya mantab, pelayanan memuaskan fasilitas oke puooolllllll",a year,Bobocabin Coban Rondo Malang,"semuanya mantab, pelayanan memuaskan fasilitas oke puol"
Septa Pahingga,5.0,Awesome 😍😍 …,a year,Bobocabin Coban Rondo Malang,awesome 😍😍 …
Fayra Zain,5.0,It was great experience with BoboCabin Coban. ✨,a year,Bobocabin Coban Rondo Malang,it was great experience with bobocabin coban. ✨
Yuina Windia Iswari,5.0,"Newly presented.
Penginapan bernuansa glamping di tengah hutan pinus. Sejuk.
Friendly staff and helpful.",a year,Bobocabin Coban Rondo Malang,newly presented. penginapan bernuansa glamping di tengah hutan pinus. sejuk. friendly staff and helpful.
Made po_,5.0,"Akomodasi dengan view perkotaan terbaik, tenang, menyatu dengan alam dan rekomen untuk healing dan glamping kekinia.",a year,Bobocabin Coban Rondo Malang,"akomodasi dengan view perkotaan terbaik, tenang, menyatu dengan alam dan rekomen untuk healing dan glamping kekinia."
Irvan Junizar,5.0,"Absolutely LOVED the immaculately clean, well appointed and absolutely beautiful cabin. Enjoying the beautiful view on the nice window setting. Really interesting vacation, Cool!",a year,Bobocabin Coban Rondo Malang,"absolutely loved the immaculately clean, well appointed and absolutely beautiful cabin. enjoying the beautiful view on the nice window setting. really interesting vacation, cool!"
Rizky Prigel Pambudi,5.0,Tempat stay yang kereeeeeeen...Bakalan nginap lagi pokoknya sebulan 1x,a year,Bobocabin Coban Rondo Malang,tempat stay yang kereeeeeeen.bakalan nginap lagi pokoknya sebulan 1x
Sari Mulyaningtias,5.0,"Recommended place to stay when in Batu Malang. Surrounded by trees and view to cities. The cabin is amazing, very comfortable and sophisticated, equipped with the latest technology.",a year,Bobocabin Coban Rondo Malang,"recommended place to stay when ini batu malang. surrounded by trees and view to cities. the cabin is amazing, very comfortable and sophisticated, equipped with the latest technology."
Faisal Gurning,5.0,"Great view, with awesome hospitality, amazing landscape. Love this cabin",a year,Bobocabin Coban Rondo Malang,"great view, with awesome hospitality, amazing landscape. love this cabin"
Adjie Ginanjar,5.0,New experience for me to stay. In the morning air is very fresh and cold because it rained last night. We were treated to a very beautiful view from the top of the hill. i want to come again to this place. very nice,a year,Bobocabin Coban Rondo Malang,new experience for me to stay. ini the morning air is very fresh and cold because it rained last night. we were treated to a very beautiful view from the top of the hill. i want to come again to this place. very nice
Nesha Yudanta,4.0,"dapet yg viewnya lumayan, cuma mending bawa sendiri alat buat grill sm bahan2nya krn disana cukup pricey sih, aku beli yg 200rb dpt wagyu yg bulet utk berdua. pengalaman menginap yang seru kalo bs jgn musim hujan kesananya biar bs jalan malem nyalain api unggun yg gede juga",a year,Bobocabin Coban Rondo Malang,"dapat yang viewnya lumayan, cuma mending bawa sendiri alat buat grill sama bahan2nya karena disana cukup pricey sih, aku beli yang 200rb dapat wagyu yang bulat untuk berdua. pengalaman menginap yang seru kalo bisa jangan musim hujan kesananya biar bisa jalan malam nyalain api unggun yang gede juga"
