nama,bintang,komentar,Waktu,Place name
Feybe Rawung,5.0,,3 months,Bobocabin Bunaken Hills Manado
Farida Indriani,5.0,"Suasana nyaman, teduh, tenang, romantis. Akses ke lokasi terjangkau dengan kendaraan pribadi, walaupun agak menantang. Mereka menyediakan mobil antar-jemput dari pintu masuk menuju resepsionis dan sebaliknya. Disediakan akses WiFi yang lancar. Sangat cocok untuk staycation.",3 months,Bobocabin Bunaken Hills Manado
Stanley Rondonuwu,4.0,,4 months,Bobocabin Bunaken Hills Manado
Kathleen Meilorry,5.0,,4 months,Bobocabin Bunaken Hills Manado
"Halid, Eliana Gloria",5.0,"✅Make sure you have a lot time, energy and very careful because I guarantee you will experience LOVE AT FIRST SIGHT✅

I have my bestest trip so far in Manado.
Very modern high tech, been so mesmerized for the facilities, amenities and hospitality. I have once forgot to bought something, but they allowed us to order by GrabMart and won't let us pick it up so they deliver it to doorstep:))) soo much helpful🥹

First thing first before you enjoy your time here you must to download BOBOBOX in app/playstore, it installed every information you need to help you had the best experience here.",4 months,Bobocabin Bunaken Hills Manado
Richards Siagian,5.0,,4 months,Bobocabin Bunaken Hills Manado
Augustievo Parengkuan,5.0,,4 months,Bobocabin Bunaken Hills Manado
Deyvana Malalangi,5.0,Rekomendasi,4 months,Bobocabin Bunaken Hills Manado
Stenny Cocochen,5.0,,4 months,Bobocabin Bunaken Hills Manado
Sherry J,5.0,"Staffnya friendly dan helpful, suasananya oke dan pemandangan bagus. Pas datang kesini menu makanan masih terbatas dan ada periode jam pemesanan, kecuali makanan instan.",4 months,Bobocabin Bunaken Hills Manado
anastasya delssia,5.0,,4 months,Bobocabin Bunaken Hills Manado
Christian David,5.0,"New hype place
Quite secluded area
Excellent service
Angel, Wilda, mark doing very nice job",4 months,Bobocabin Bunaken Hills Manado
Len Penaumang,5.0,,4 months,Bobocabin Bunaken Hills Manado
KozeK ID,5.0,,5 months,Bobocabin Bunaken Hills Manado
Diktirada Gsy,5.0,,5 months,Bobocabin Bunaken Hills Manado
Christine Tiwang,5.0,Keren for ba tenang❤️,5 months,Bobocabin Bunaken Hills Manado
April R,5.0,the view from Bobocabin Bunaken Hills was totally breathtaking that u guys needs to see it for yourself 👌👌,5 months,Bobocabin Bunaken Hills Manado
June love chlif Juniar,4.0,,5 months,Bobocabin Bunaken Hills Manado
Paula Friendsi,5.0,,5 months,Bobocabin Bunaken Hills Manado
Candy Anggreani,5.0,,5 months,Bobocabin Bunaken Hills Manado
try hardiyanto,5.0,,5 months,Bobocabin Bunaken Hills Manado
Robert S,5.0,"New in town, glamping experience in a prefab cabin, excellent city and seaview, just opened",5 months,Bobocabin Bunaken Hills Manado
PM,5.0,"Definitely a gem in North Sulawesi!

First impression was excellent! We were welcomed at the parking area and notified that the road to their lobby area is very steep hence they prepare an off-road car to transfer us there. They assisted us with our bags and ensure we’re comfortable in the car.

I went there with my kids and they are easily alerted on unfamiliar places or situations. My kids requested that they prefer to walk that steep climb part of the road, the driver politely confirmed our choice before dropped us off at the point where the climb becomes scary for my kids. My kids got relaxed and enjoyed their hike instead!

We arrived early before normal check-in hours, but the staffs were super responsive and prepared our cabin right away. Btw, they ensure we got the cabin with the best sunset view without me asking for it. I should praise this extra-mile gesture from them!

Fyi, it was cabin 5 😊 .. for the best sunrise view, I think it goes to cabin 20 or 21

We received complimentary BBQ for dinner and free breakfast the next morning. Another point that I should praise them on: they asked our preference of time when we need our dinner and breakfast to be delivered, and THEY WERE ON TIME!

My daughter also requested for an in-house activity, again they asked her time preference and they delivered her kit 5 minutes early!✨

We had a very pleasant experience overall, the view and atmosphere is heavenly, cabin is clean, water heater works, food was good, service quality is superb!🙌 We’ll definitely come back.",6 months,Bobocabin Bunaken Hills Manado
syamsul saragi,5.0,Lokasi mantapp,6 months,Bobocabin Bunaken Hills Manado
Izabella Lubis,5.0,"Klo cuma punya waktu singkat buat healing sejenak, disini sangat cocok, masih di kota manado, kurang dari 20 menit dari pusat kota. Rekomendasi",6 months,Bobocabin Bunaken Hills Manado
Falen Gampu,5.0,,6 months,Bobocabin Bunaken Hills Manado
timothy,5.0,The scenery was great can be seen the Mt.Klabat and Manado Tua Island also it was near to Manado city area,6 months,Bobocabin Bunaken Hills Manado
Apriliano Tombeg,5.0,,6 months,Bobocabin Bunaken Hills Manado
Magda Mory,5.0,,7 months,Bobocabin Bunaken Hills Manado
Sembalun Box,5.0,,8 months,Bobocabin Bunaken Hills Manado
Aldino Martha Widjaya,5.0,Untuk harga memang hampir setara hotel mewah...tp disini lebih memberikan experience yg berbeda untuk anak2...staff disini sangat amat helpful dan gercep2...keren....suasana hutan yg dingin ditemani oleh api unggun dan bbq...anak2 happy …,13 hours,Bobocabin Cikole Bandung
gatot Irwansyah,4.0,,23 hours,Bobocabin Cikole Bandung
Benediktus Ferdy,5.0,,a day,Bobocabin Cikole Bandung
Sandi Ihsan,5.0,,a day,Bobocabin Cikole Bandung
Kincir Angin,5.0,Pengalaman berlibur bersama keluarga yang menarik. Suasana dingin dan fasilitas memadai juga pelayanan yang ramah.,2 days,Bobocabin Cikole Bandung
rere cat's,3.0,Menikmati suasana alam  sejuk,2 days,Bobocabin Cikole Bandung
Intan Candra,4.0,Sangat menyenangkan,5 days,Bobocabin Cikole Bandung
Rendy Permana,5.0,,6 days,Bobocabin Cikole Bandung
Lea Anggraini,4.0,"Ke Cikole Lembang gegara mau ke tempat KK sudah di jalan baru tau kalo KK sedang ke Jogja jadilah kita bermalam seketemunya tempat. coba nginap di bobocabin Cikole ternyata harus pesan tempat lewat aplikasi mereka bobobox..  langsung download di tempat... untuk kamar standar harga termasuk agak mahal kita dapat harga 945.000 kamar mandinya sharing dan
belum termasuk  fasilitas sarapan... pas scroling tiktok ternyata banyak penawaran lebih murah dengan link yang mereka bagikan bisa juga lewat traveloka.. e",6 days,Bobocabin Cikole Bandung
Whisper Note,5.0,,a week,Bobocabin Cikole Bandung
Agus Riyanto,4.0,"Tempatnya sangat asri, cuma sedikit suara kendaraan.",a week,Bobocabin Cikole Bandung
Ade Rustandi Rustandi,5.0,Suasana nya sejuk dan nyaman,a week,Bobocabin Cikole Bandung
VYB,5.0,Menginap di tengah hutan dengan aman dan nyaman,2 weeks,Bobocabin Cikole Bandung
Shalih Channel,5.0,,2 weeks,Bobocabin Cikole Bandung
Dion WaldrofIndonesia,4.0,"Pelayanannya baik dari team parkir yang sigap tindakannya juga membantu saya yang kadang parkirnya kurang rapi🙏. Kamar bersih, sarapan juga enak simpel, hanya saja menu santap makan malamnya western menurut saya. Karena kami tidak konsumsi daging merah, saya pikir ada menu nasi goreng kampung😅. Itu saja sih masukan dari saya. Oh iya internet kuenceng aduhai.

Sengaja inap kesini berangkat pagi biar tak terlalu macet karena hari libur. Jadi bisa langsung ke orchid dulu masih cukup sepi dan bisa nunggu di warung kopi dan parkir rada lenggang. Jam 11an keatas jangan harap sepi🤣 .
Tempat asik buat baca buku, Yoga didepan cabin, atau jogging keliling sekitar cabin aduh treknya seru untuk kakiku❤️

Puas liburan di bobocabin cikole ini
Ohiya saya harap pengunjung dan pengelola sama-sama menjaga kebersihan lingkungan sekitar ya agar alam terjaga pepepohonan juga tanah🌻🌾❤️
Jangan mentang-mentang pengunjung bayar suka seenaknya buang sampah sembarangan💔
Mari budayakan tertib dan disiplin 🌻",3 weeks,Bobocabin Cikole Bandung
Dessy Eka Purnama,3.0,"Pemandangan alamnya cukup bagus dan beberapa cabin juga tersusun dengan rapi serta estetik. Sentuhan teknologi di cabin menambah suasana nyaman stay di cabin. Sayangnya, transport shuttlenya masih sgt amat terbatas sehingga waktu tunggu customer ke cabin memakan waktu yg cukup lama. Tolong diperbanyak lagi ya. Makanan paginya juga agak kurang fresh dan kurang variatif, mungkin bisa dicoba tambahkan menu lain. Sy tidak menyarankan untuk STAY disini saat HOLIDAY SEASON karena harganya menjadi overpriceeeee bgt.. 👀",3 weeks,Bobocabin Cikole Bandung
Ryan Iskandar,5.0,"I booked 4 Deluxe Cabins for one night, which included a bathroom and breakfast (unlike the Standard cabins that lack a bathroom). One word: magical! Staying in a cabin surrounded by pine trees is a must-do once in a lifetime. Especially during dusk near sunset, the foggy weather and foresty smell make you feel like you're in another world. The clear air can get as cool as 19°C in the evening. There's no TV in the room, but it's perfect for finding peace away from city life. Food options are limited (frozen food and BBQ), but you can order from GoFood, GrabFood, and ShopeeFood, with the staff delivering it to your room.

Feedback for management: Improve the buffet breakfast quality.

Tips:
- Avoid the rainy season to fully enjoy and explore the area.
- Cabin 31 is slightly bigger than the others, so choose it if booking a Deluxe Cabin.
- Book directly through their app and in advance. We paid 890,000 IDR nett for a Deluxe Cabin with breakfast, which usually costs 1 million++.",3 weeks,Bobocabin Cikole Bandung
era eraiga,2.0,"saya datang check in di suruh ujan2 an dan smua lagsung pada sakit, pergi healing malah pulang sakit. blacklist bobocabin scam",4 weeks,Bobocabin Cikole Bandung
HAN HAN SUBHAN SAFARI,5.0,"Sejuk,pelayanan ramah,bersih,ada kolam air hangat.",4 weeks,Bobocabin Cikole Bandung
Otong Solikhin,5.0,,a month,Bobocabin Cikole Bandung
Red Eight,5.0,Tempatnya adem enak buat healing dari sumpeknya jakarta. Sedikit masukan mungkin bisa ditambahkan westafel untuk di kamar yang tanpa kamar mandi agar memudahkan apabila ada keperluan di malam hari,a month,Bobocabin Cikole Bandung
Pendaki Branded,5.0,Pindah bobo enak disini aja,a month,Bobocabin Cikole Bandung
Yuma Maulana,5.0,"the atmosphere of staycation is amazing, choose the one with hottub even more fun",a month,Bobocabin Cikole Bandung
Axel Raharja,5.0,"Such a great experience to have one night stay here. The place is quite unique, you'll be like stay in the small cabin in the middle of pine forest. Although the location is far from Bandung city but it's worth the time. The environment is peaceful and the air is cool, especially on the nighttime. If you plan to stay here, I recommend to book via bobobox app for easier check in process. Don't forget they have 3 types of cabin, better to avoid standard cabin as it doesn't have bathroom inside, so you'll need to walk to the shared bathroom and it would be quite troublesome when it rains.",a month,Bobocabin Cikole Bandung
Tsabit Lefi,5.0,"staycation disini super duper tenang, sunyi dan nyaman. cocok banget buat kalian yg mau healing ini. dinginnya juga sejuk, paginya sangat rindang",a month,Bobocabin Cikole Bandung
Sarah Fira,5.0,Calming & relax. Terpenting : bisa go food🦭,a month,Bobocabin Cikole Bandung
Stevan Zhang,4.0,,a month,Bobocabin Cikole Bandung
Tian Andrianto,5.0,,a month,Bobocabin Cikole Bandung
Chloe Mc,5.0,"Tempatnya dinginnnn...AC aja kalah dingin nya cm yah ga ada tv ,cabin yg udh 1 juta ++ masi kecil loh ...hmm sarapan juga biasa aja...cm nikmati kaca blur terang hahaha...masuk bayar lagi 15 RB per orng harga di luar kamar yah...kudu dikaji ulang yah",a month,Bobocabin Cikole Bandung
Farida Fathoniah,5.0,"kali kedua nginep di bobocabin bandung; pertama di ranca upas, kedua di cikole. saya pribadi lebih suka yg cikole. lebih terasa asri dan sejuk.

jalan menuju lokasi termasuk aman dan gak banyak obstacle buat mobil. parkirannya pun luas. ada semacam mobil ""shuttle"" yg bentuknya mirip trail, yg bisa accommodate pengunjung dari parkiran ke lobby.

saya menginap di cabin deluxe utk 2 orang. termasuk yg nyaman karena kamar mandinya di dalam dan luasnya cukup untuk solat 1 orang. surprisingly cabin saya tidak lembab sama sekali; area tidur dan kamar mandi pun bersih.

untuk cabin yg tanpa kamar mandi, letaknya lebih ke atas mendekati front office, tidak jauh dengan kamar mandi.

staff nya sangat helpful, mulai dari security di parkiran sampai yg di area cabin. saya memesan bonfire sekitar jam 9 dan dibantu menyalakan apinya.

untuk sarapan, lokasinya di lobby/front office mulai jam 7. tempatnya open space dengan jumlah meja+kursi yg terbatas. saran saya bangun agak pagi supaya bisa dapat meja dan kursi yg nyaman dan tidak kesulitan makan tanpa meja. menu sarapan standar nasi goreng, mie goreng, lauk pauk seperti ayam kecap, sunny side up egg, buah, infused water dan jus. menurut saya semua makanannya cukup enak; terasa ""niat"" masak dan memberi bumbu, tidak hambar sama sekali.",a month,Bobocabin Cikole Bandung
latif suhu,5.0,,a month,Bobocabin Cikole Bandung
yulia rahmi,4.0,,a month,Bobocabin Cikole Bandung
Mutiara Ayu F,3.0,"Lokasi dan pemandangannya bagus. Service staffnya juga cekatan. Namun sayang cabin dan jacoozi nya sendiri terlihat low maintenance. Tidak worth it untuk harga yang terbilang lumayan. Banyak serangga di area jacoozi sama cabinnya. Kurang sirkulasi udara juga di dalam cabin. Air jacoozinya kurang bersih dan areanya tidak tertutup, pengunjung yang lain dapat melihat ke arah jacoozi, bikin tidak nyaman jika ingin berendam.",a month,Bobocabin Cikole Bandung
ALDO ARDIANSYAH,5.0,"Pengalaman yang menarik
Seputar info : Tiket masuk 15k/orang (In wisata) , motor 5k
Semua pelayanan sangat bagus",a month,Bobocabin Cikole Bandung
Sulaeman Santoso,5.0,Tips : If you're not accustomed to cold weather bring extra insulation. This glamping place is run professionally with clean shared bathroom ( altough there only one for each gender). The place is beautiful the cabin is ok. Altough there are signs of slight off maintenance. My biggest gripe is that it is located near grafika Cikole which is a place with a lot of noise. So noisy that it is Heard here. So if you wanna avoid that make sure to book on low season,a month,Bobocabin Cikole Bandung
Retno Astuti,5.0,"Tempat bagus,, cabin bersih. Admin slowrespon sekali tp security sigap untuk membantu proses cek in dan membantu antar barang sampe depan cabin.
Ada playground yg bagus dengan perlu pengawasan orgtua",a month,Bobocabin Cikole Bandung
Gendut,1.0,,a month,Bobocabin Cikole Bandung
jhon lenn,5.0,,a month,Bobocabin Cikole Bandung
Detti Nilawati,5.0,,a month,Bobocabin Cikole Bandung
iif ifni bayhaqi,5.0,Super tenang super dingin,a month,Bobocabin Cikole Bandung
Seno B,5.0,,a month,Bobocabin Cikole Bandung
Rafid Farisy,5.0,,a month,Bobocabin Cikole Bandung
Irna Khadijah,3.0,"Cocok untuk ibu yang membawa bayi, dan short trip sore bisa ke cikole bisa naik bus shuttlenya htm 40rb (untuk 2 orang). Paginya bisa liat rusa kalau kuat untuk medaki ke atas green grassnya, namun Kurang cocok untuk long trip karena makannya yang biasa saja

Namun pelayanannya cukup lama request handuk baru dari malam baru diantar paginya, menu makanannya juga hanya instan lebih seneng makan di luar area resto, saat breakfast disediakan lilin karena banyak lalat di meja (mungkin ke depannya bisa diantisipasi lalat2nya)",a month,Bobocabin Cikole Bandung
YUNITA SARI,5.0,"Ada banyak alasan kenapa milih bobo di cikoleee,
🚩 karna suka suasana pohon pinus
🚩 karna sekitarnya banyak tempat wisata
🚩 ada hot jacuzzi nyaa

Itu sihh utama nyaa,
🚩 sarapan nya simple set tp pas dilidah👌
🚩 sangking betah, yg niatnya mau nyambi keliling sekitaran, sampe gajadi wkwk
🚩 aku pesen makan malem nasi merk fiesta gitu, (nasi rendang, nasi goreng, nasi ayam geprek) bisa dianter ke kamar cuyy

gausah kemana mana pokonya tenang aja dibobocabin tersedia makanan, minuman, sampe snack +++

Smoga tetap terjaga pelayanannya, kebersihannnya,

*note buat kalian yg gasuka alam, please lah jgn komen banyak semut! Ada lintah! Banyak lebah! Atau serangga lain, come on kalian emang lg dialam 😅😅😅
Gausah nginep ditempat ginian klo gamau ketemu serangga wkwk",a month,Bobocabin Cikole Bandung
Mpii Dewinovita,5.0,,2 months,Bobocabin Cikole Bandung
Sanristia,5.0,"kamar nya bersih,,pelayanan nya pun cepat..",2 months,Bobocabin Cikole Bandung
Bintang Razak,5.0,,2 months,Bobocabin Cikole Bandung
Sultan K.K,5.0,,2 months,Bobocabin Cikole Bandung
Mohamad Fadil Wicaksono,5.0,"Pengalaman nginep di tengah hutan yang menyenangkan. Tapi saran saya check in jangan siang, karena ga ada AC dan kabin nya jadi panas luar biasa kayak oven",2 months,Bobocabin Cikole Bandung
Wiraha Hs,5.0,,2 months,Bobocabin Cikole Bandung
Isma Nurlatipah,4.0,"Puas banget nginep disini, suami bilang gak nyesel bayar mahal tapi dapet kamar bagus, pemandangan bagus, nyaman, sejuk, pelayanan ramah🫶🏻 worthed banget pokonya gak nyesel malah mau kesini lagi kalo ada rezeki lagi hhihi jadi punya waktu romantis berdua sama suami😍😍",2 months,Bobocabin Cikole Bandung
Trip.com Member,4.1,Lumayan bagus,2 months,Bobocabin Cikole Bandung
Lombardiole Flash,4.0,Gada sarana enternatainer.gada tv wifi nya pun kembang kempis.tutup selalu pintu karena banyak lintah dan binatang lain.kenyamana kebersihan baik.petugas baik.makanannya sedih banget,2 months,Bobocabin Cikole Bandung
DENKA,4.0,Tdk menginap d bobo cabin. Tpi di green grass nya. Minus nya kok skrng banyak banget lalat ya? Liat d kendaraan byk yg d hinggapi lalat. Untuk dingin nya sudah dpat 18c di malam hari...  nyamann,2 months,Bobocabin Cikole Bandung
Nindy Sabrina,4.0,,3 months,Bobocabin Cikole Bandung
Tjoa Han Hwa,5.0,,3 months,Bobocabin Cikole Bandung
Chris Chen,5.0,,3 months,Bobocabin Cikole Bandung
Jepry,5.0,Tempatnya dingin dan sejuk...suasana hutan pinus dengan fasilitas lengkap,3 months,Bobocabin Cikole Bandung
Yulius,4.0,"Lokasinya bagus tapi harus berhati-hati dengan tangga ada batu krikil yang bisa licin ketika turun, service cukup cepat, untuk kamar ini cukup mengecewakan karna kebersihannya tidak dijaga, dari jendela hingga sudut kamar yang sangat kotor, didepan halaman juga banyak bekas-bekas sampah, yang seharusnya bisa dibersihkan dan kalau bisa berikan tanda untuk jangan buang sembarangan didepan kamar",3 months,Bobocabin Cikole Bandung
Kristina Tambunan,2.0,"Jujur ini tempatnya bagus secara lokasi tapi bukan cabinnya.
Didalam kabin atau kamar gw nemui lalat dan ruangan bau apek. Apakah sebelum guest cabin masuk gk di cek dulu? Kecewa gw gk rekomendasi kalau qualitas cabin kurang memuaskan.
Sarapan pagi gw sangat kecewa karena soto yang disajikan BASI. Apa gk ada pengecekan sama sekali? Masa tqmu dikasi makan soto basi. Gw gk rekomendasiin buat teman2 yang mau kesini. Sebelum qualitas diperbaiki",3 months,Bobocabin Cikole Bandung
Rani Rdm,5.0,"Sudah 2 kali kesini pesan tipe cabin Deluxe Hot Tub ,, anak2 senang sekali 🥰
Viewnya Bagus , Udaranya segar Banget 🥰. Menu Sahur juga enak 👍🏻
💕 Tonton Review Lengkapnya di Youtube Ricky Farici yaa 🥰🙏🏻",3 months,Bobocabin Cikole Bandung
Bimo Putranto,4.0,,3 months,Bobocabin Cikole Bandung
Grace Purna,5.0,"Bakal balik lagi kesini. Experience cabin with hot tub nya bikin ketagihan

Serangga2 ada lah dikit tapi yg byk itu lalat ;( lebah gede juga ada kalo siang hiks. Lalatnya malempun ada tapi ga sebanyak pagi siang

Kalo siang ga enak bgt di dlm cabin, panas. Mendung kluar cabin, lebih adem. Kalo malem sih oke kq.

Kebersihan, 🫰👍.

Air untuk mandinya mengalir kecil yah, tapi bisa dimaklumi biar orang ga pake boros2. It's ok

Utk sarapannya lumayan mengenyangkan.

Kalo kesini bawa makanan kucing ya untuk pecinta kucing. Saya ketemu 4 kucing disini..

Kalo ga suka kucing tolong diusir aja jangan ditendang2.. mreka juga makhluk hidup",3 months,Bobocabin Cikole Bandung
Titi nurhuda,5.0,"Pasti akan kembali lagi kesini, experience menginap di hutan pinus yg sgt amazingg",3 months,Bobocabin Cikole Bandung
Anggi Wibawa,5.0,,3 months,Bobocabin Cikole Bandung
Yudho Chusnul,4.0,,3 months,Bobocabin Cikole Bandung
Margareta,5.0,,4 months,Bobocabin Cikole Bandung
Tky Zuzuzu,4.0,"the ambience and concept are really cool. bagus bgt view dan udaranya. tp sirkulasi udara di cabin sesak bgt dan panas karena gk ada AC, exhaust jg nggak. klo malem kan gkbisa buka pintu atau jendela juga. semoga bisa improve lg ya.",4 months,Bobocabin Cikole Bandung
Stevy Christopher Assa,5.0,,4 months,Bobocabin Cikole Bandung
Moch Rifky,4.0,,4 months,Bobocabin Cikole Bandung
Gavin Mark Starkey,4.0,"Loved the experience. I gave 4 stars for the room because of a few minor issues. There was no circulation in the room at all unless we kept the bathroom door open. Bluetooth kept cutting in and out. The door could not close unless we lifted the awning above it. I brought it to the attention of the jacuzzi guy, but nothing was done. The jacuzzi was not private, and there were young families around that kept on staring at us. We had an amazing time. The place is very romantic, but be warned that there are early morning activities at the adventure ground close by. I will definitely try another bobocabin.",4 months,Bobocabin Cikole Bandung
Ifik Ismoedjati,4.0,,4 months,Bobocabin Cikole Bandung
Julius Christanto,5.0,"Tempatnya private meski area terbuka, tempanya aman, ada CCTV, nyaman, bisa BBQan",4 months,Bobocabin Cikole Bandung
Didit Surya,4.0,,4 months,Bobocabin Cikole Bandung
rima susanti,5.0,bagus,4 months,Bobocabin Cikole Bandung
Hartini rama Setiani,3.0,"Kamarnya panas ga ada ac,.. pesen BBQ mahalnya doang dagingnya ga enak dan ga disediaan lengkap alat2nya, bete deh kebanyakan dibuang,. Suamiku kapok",4 months,Bobocabin Cikole Bandung
Ikrar Maulana Rahman,5.0,,4 months,Bobocabin Cikole Bandung
Pes Mobile,1.0,"cabin deluxe nomor 20 :

- di samping kasur banyak remahan makanan yang tidak di bersihkan
- kamar berdebu dan banyak bercak hitam di atap dan lantai
- jendela super jorok tidak di bersihkan
- lampu taman dari room 18 sampai 26 mati sangat gelap dan tidak ada usaha untuk perbaikan

intinya sangat kecewa dengan kamar yang kami dapatkan dan sangat buruk 👎🏽",4 months,Bobocabin Cikole Bandung
yudee siren,5.0,,4 months,Bobocabin Cikole Bandung
Reiza Rajasa,5.0,,4 months,Bobocabin Cikole Bandung
John,1.0,"This places is located in very beautiful places. But there are few area need to be improve. Am writing this with full sincere so the hotel management can improve the quality of the facility.

1. Once we arrive at the arrival, the security charge us with entrance fee that 15000 per people for perhutani fee. This actually need to include by the hotel booking fee. Only small money but made us felt like this is very low class facility like need to charge for the entrance fee. Hotel management need to communicate with perhutani side to handle the small amount of entrance fee and not to burden to the guest. High class facility need to include this all fee. Entrance fee, toilet fee, parking fee. This all is the basic fee that made different within the high class facility with pasar malm facility (you know what i mean right?)

2. The facility of toilet need to improve because the toilet is smelly and there are no toilet inside the basic bedroom. So everybody need to using the public toilet.
The toilet also not enough. Gents only have 2 toilet and one places for bath. This really insufficient for that scale of facility.

3. The breakfast is too simple for the price we pay. The room price is 4 star hotel room price. But breakfast is like the 1 star hotel breakfast. They even not care for the guess request.
We came in group of 8 people and we are vegetarian. We request for simple breakfast for us. Hotel management not even care for that. We said even you prepare bread with jam also that is really enough for us. But hotel people not even care. Hotel management need to more care about the different type of meals of people. Because it located in jungle, nobody selling food nearby. And our high room prices already included with breakfast. Hotel management can stock some cup noodles for vegetarian people. Or prepare some bread with jam. That all are cheap prices food but can made customer more convenient and happy.

4. The bedroom is smelly, and towel also. Inside room there are no places to hang the towel.

5. Staff of the hotel not enough. We ordered the firewood. But waiting more than 30 minute the wood still not come. Then finally we cancelled it.",4 months,Bobocabin Cikole Bandung
Amanda Lie,4.0,"Sebenar nya tempat nya ok, pengalaman tidur di tengah hutan, cuma apa yg didapat memang tidak seindah vidiio di tiktok, over all over price sih dgn fasilitas yg ada,  kamar bau, pelayanan ramah tapi lambat, wc terbatas, dan untuk masuk ada bayar untuk perhutani yg sebaik nya sdh include dlm book hotel,
mungkin ke depan nya bs diperbaiki, dan sebagai masukan bisa mempertimbangkan untuk menyediakan makanan vegetarian friendly (buat yg kamar include breakfast).",4 months,Bobocabin Cikole Bandung
puspita indah,5.0,"Seneng bangeett bs kesini, dlm rangka employee gathering, di akhir tahun 2023

oiyaa krna lokasinya di green grass area Cikole Jaya Giri, ditengah² hutan pinus, dan dr pintu masuk green grass area ke lokasi cabin cukup lumayan (gak jauh² amat jg), dgn jln yg lmyn menanjak, dan ada bbrp anak tangga kyknya lbh proper menggunakan ransel drpd koper.

dpt cabin type deluxe (tanpa jacuzzi), fasilitasnya sendiri,
Cabinnya bersih bgt
tersedia jg 2 air mineral kemasan, dan jg 2 mug (tanpa sendok teh/pengaduk)
closet duduk, wastafel dan shower air panas dan dingin. amenities & handuk.
fasilitas bluetooth speaker, moodlamp yg bs diubah² warnanya, smart window dan pintu yg aman krna aksesnya dgn QR Code. nyaman bgt untuk sbuah penginapan tipe cabin di tengah hutan pinus. oiyaa tersedia kursi untuk ngobrol santai di dpn cabin.

overall puas sm pelayanannya, respon dgn bag. front office via chat cepet bgt, minta tambahan selimut lngsung diantar dan free. waw.. sempet ngalamin airnya mati, complain melalui chat lngsung direspon dan ga lama air nyala kembali.👍

oiya untuk shower air panasnya, kapasitasnya terbatas klo ga salah hnya 15 liter untuk cabin yg saya tempati jd pastikan ckup krna kalau hbs lama lg nunggu airnya bs panas kmbali dan pastikan untuk membaca setiap detail informasi yg tertera di dlm cabin.

krna ini acara gathering, ada fasilitas makan mlm dan sarapan pagi jg. ENAK BANGET MAKANANnyaa.. loteknya suka banget, nasi uduknyaaa ahh the best.🤤🤤
oiya untuk yg staycation, tersedia minimarket kecil yg siap memenuhi kebutuhan cemilan dan makanan instan kalian.
ada jg akses jalan menuju kopi gunung buat yg mau ngopi² cantik, biar gak muter jauh².

overall puas banget, dan menyenangkan skli nginep dsni.. yg pnya pikiran krna ditengah hutan pinus mgkin serem, gaiss sama sekali enggk. menyenangkan sekali..

sbg masukan untuk bagian housekeepingnya mgkin bs ditambahkan ketika sdg peak season seperti ini, krna saya baru bs check-in di jam 14.30🫠",4 months,Bobocabin Cikole Bandung
Aa Umin,5.0,,4 months,Bobocabin Cikole Bandung
Rima Susanti,5.0,"bagus , menyennagkan,nyaman ,sejuk  pokoke mantap",4 months,Bobocabin Cikole Bandung
1208 SM,5.0,,5 months,Bobocabin Cikole Bandung
Kristina Maria Siswiandari,3.0,Harga dan kualitas pelayanan tidak sesuai. Lampunya rusak payungnya rusak  sarapannya seperti di motel.,5 months,Bobocabin Cikole Bandung
Hary Ardi,4.0,,5 months,Bobocabin Cikole Bandung
Herry Arifin,5.0,,5 months,Bobocabin Cikole Bandung
Riccy Darmawan,5.0,"Pernah nginep sblm pandemi dan waktu itu masih bawa koper 😅.
Yg ada toilet dalam belum dpasarkan meski sudah dbangun.
Nginep dsni berasa dekat ke alam.
High tech juga.
Barbeque nya udah ok bgt cm butuh 30menit preparation.
Sayang jagung sama marshmellow nya enggak ready stok.
Makanan dr hotelnya sangat minim pilihan sehingga malam2 byk abang ojol mengantar makanan ke kabin. 😅",5 months,Bobocabin Cikole Bandung
dwi pangesti,3.0,Notif for quite hour is surprisingly original,5 months,Bobocabin Cikole Bandung
ridwan Kurniawan,4.0,,5 months,Bobocabin Cikole Bandung
Granite Bagas,4.0,"Untuk kabin oke, pelayanan baik, viewnya bagus banget. Tapi sayangnya pada saat mau mandi pagi tidak ada air",5 months,Bobocabin Cikole Bandung
A Fa,4.0,"lokasi mudah dijangkau, kamar bersih tapi kalo siang engap kurang ventilasi juga mungkin, kamar mandi (yg sharing) kalo di atas jam 9 pagi heaternya udah nggak nyala bahkan mati airnya",5 months,Bobocabin Cikole Bandung
Eko Suyanto,5.0,,5 months,Bobocabin Cikole Bandung
Gatot Bramanto,4.0,"Access to room rather extra effort, but view ok. Window glass can be blurred or cleared using command screen near bed.",5 months,Bobocabin Cikole Bandung
Riza Alhamda,1.0,Parah banget ini. Saya sdh booking 1 minggu sblm tanggal chekin. Nyampe sana ternyata penginapan tutup krna cuaca tanpa ada pemberitahuan kepada saya. Giliran minta refund lama banget ampe berminggu2. Di hubungi susah. Bayar woy duit gua. Jelek banget ini pelayanan nya. Dikasi Bintang 1 pun masih kebagusan ini,5 months,Bobocabin Cikole Bandung
Dimas priono,5.0,,5 months,Bobocabin Cikole Bandung
Graeme Elliott,3.0,,5 months,Bobocabin Cikole Bandung
Falentino eka laksana putra,3.0,,5 months,Bobocabin Cikole Bandung
Nanang Chodet,5.0,,5 months,Bobocabin Cikole Bandung
