nama,bintang,komentar,Waktu,Place name,clean_text
Nyoman Adi,1.0,the hotel is nice. but the service and staff are very bad. poor bobobox's name is ruined because of incompetent employees.,a year,Bobocabin Kintamani Bali,hotelnya bagus. tapi pelayanan dan staffnya sangat tidak bagus. kasihan nama bobobox jadi hancur karena karyawan yang tidak kompeten.
Rahmad Latip,1.0,you will get the worst experience ini your life! trust me!,a year,Bobocabin Kintamani Bali,you will get the worst experience ini your life! trust me!
SAC 07,5.0,"di the best healing!!  top. everything!  maybe just one input : the entrance is bad,  the rest is top!",a year,Bobocabin Kintamani Bali,"di the best healing!!  top. everything!  maybe just one input : the entrance is bad,  the rest is top!"
Ade Pranata,1.0,"1. super cool view 2. smart glamping 3. friendly staff 4. the lack of a hot tub, I stayed in a cabin with a hot tub waiting for it to fill up for a long time, wee, the small water failed to heat up, not as expected, not as good as the hot water bath in the area that only pays under 50k is already hot, you can get a better view, just close the hot tub, sir/madam, the guests, friends, neighbors of my cabin are also complins as rich as me, this is not the first time this has happened, it is better to make a public pool, please rent 50k or how much for per pax to make it rich on the other side, it adds to the glamping pool with a view so that the view is not tarnished. The glamping concept is only because of the review about the hot tub. It's a pity that the staff explained it to me but I didn't believe it thx 4. The rice is also hard, not the hotel standard but The price is too high. 5. The bbq is okay",a year,Bobocabin Kintamani Bali,"1. view super keren 2. smart glamping 3. staff ramah2 4. kurangnya di hot tub gue stay di cabin with hot tub menunggu penuhnya lama kali wee, air kecil gagal panas enggak sesuai ekspektasi enggak sesuai pemandian air panas area sana yang cuma bayar under 50k sudah panas sudah dapat view lebih baik tutup saja hot tub nya pak/bu tamu2 teman tetangga2 cabin gue juga komplinnya sama kaya gue kayanya ini bukan pertama nya hal ini kejadian lebih baik buatkan public pool kasih sewa 50k atau berapa untuk per pax buat kaya yang di sebelah tuh kan menambah mantap jadinya glamping isi kolam with view supaya tidak ternodai view yang sudah bagus konsep glamping cuma gara-gara review tentang hot tub kasihan tuh staffnya brusha ngejelasin ke gue tapi gue enggak prcaya thx 4. nasi juga keras bukan standar hotel tapi hrga terlalu over 5. bbq an oke lah ya"
Bimo Digdoyo,5.0,"for me who likes cold, this place is so god damn good. the view is also nice note: for those who drive, don't follow gmaps. don't turn to where it says sunrise hill, just keep going straight until you find the bobocabin sign",a year,Bobocabin Kintamani Bali,"untuk saya yang suka dingin, this place is so god damn good. view bagus juga  catatan : buat yang naik mobil jangan mengikuti gmaps. jangan belok ke yang ada tulisan sunrise hill, lurus saja terus sampai nemu sign bobocabin"
AROUW,5.0,top view and experience,a year,Bobocabin Kintamani Bali,top view and experience
hamdi mohamad,5.0,"the access road is not good, the place is really nice and comfortable",a year,Bobocabin Kintamani Bali,"aksesnya gabagus jalannya, tempatnya bagus banget nice nyaman"
Belinda Rosa,4.0,"nice glamping resort. nice view. good room facilities. but when I was there the main light which could be changed color was damaged so the room was a bit dim and I couldn't feel the color variations of the light. The staff checked it but it turned out to be damage to the system, while the system pic was ready in the morning (I checked this at night). Entrance access is not visible on Google Map, the area is narrow and uphill so it is advisable to contact the hotel staff when you are near the location to be picked up. It is recommended to see the sunrise at 5 am, at the back of the resort (direct view of Mount Batur).",a year,Bobocabin Kintamani Bali,"resort glamping bagus. view bagus. fasilitas ruangan bagus. tapi saat saya dis ana lampu utama yang bisa diganti warna rusak sehingga kamar agak remang dan enggak bisa merasakan variasi lampu warna, sudah dicek petugas namun ternyata kerusakan dari sistem, sedangkan pic sistem ready di pagi hari (saya check ini malam hari). akses masuk tidak menampak di google map, area sempit dan menanjak sehingga disarankan menghubungi orang hotel saat sudah dekat lokasi agar dijemput. disarankan untuk melihat sunrise jam 5 pagi, di bagian resort belakang (view langsung gunung batur)."
Hilal Arsa,5.0,"rooms : comfortable for a cabin, with good amenities. cleanliness is very good. the cabin has a tablet that can be controlled from your phone, and best thing is, you can connect through bluetooth, to listen to your favourite songs using the whole cabin speaker! service : they provide grill/bbq services to rent, by an order of ini-house menu of meat selection, start from 150k (striploin)/250g. included with bbq sauce, stove, and kapan. they also provide firewood for 35k to warm you up. tips : bring ur own meat and snack from the area, and grill it, for a uniquie grilling experience with lake view! location : di not follow the maps for motorcycle to reach this place, because you will be guided through unreachable pathing. try to switch it to car mode. the place also sometimes got annoying locals that screams through wide microphone and disturb the vibe around the camp. we tried to complaint about this to the owner, but there's seems little they can di about it as mediation with locals doesnt seem to be effective. place is good eitherway, located between mt.batur and lake batur, it offers you an experience you won't able to forget!",a year,Bobocabin Kintamani Bali,"rooms : comfortable for a cabin, with good amenities. cleanliness is very good. the cabin has a tablet that can be controlled from your phone, and best thing is, you can connect through bluetooth, to listen to your favourite songs using the whole cabin speaker! service : they provide grill/bbq services to rent, by an order of ini-house menu of meat selection, start from 150k (striploin)/250g. included with bbq sauce, stove, and kapan. they also provide firewood for 35k to warm you up. tips : bring ur own meat and snack from the area, and grill it, for a uniquie grilling experience with lake view! location : di not follow the maps for motorcycle to reach this place, because you will be guided through unreachable pathing. try to switch it to car mode. the place also sometimes got annoying locals that screams through wide microphone and disturb the vibe around the camp. we tried to complaint about this to the owner, but there's seems little they can di about it as mediation with locals doesnt seem to be effective. place is good eitherway, located between mt.batur and lake batur, it offers you an experience you won't able to forget!"
putri pertami dewi,1.0,"order cabin in the photo is good, eh when we arrived at the place we got a room that was not in a good position, just entered the tab was broken had to wait for the technician to fix it, the mane was broken and fell off, was this not checked before the guest checked in? had passed a bad road and was not satisfying, a very bad experience, and expensive for this bad condition",a year,Bobocabin Kintamani Bali,"pesan cabin di fotonya bagus , eh malah sampai tempat sudah dapat kamar yang posisinya kurang bagus , baru masuk tabnya rusak harus menunggu teknisi benerin , surainya rusak copot apa sebelum tamu check ini enggak di cek dulu kah ? sudah melewati jalan buruk terus tidak memuaskan bad experience banget , dan mahal untuk kondisi yang buruk ini"
Kezia Sugianto,4.0,"the view of this place is spectacular!! with the cool weather, it's awesome. we go here through google maps. nearing this place it directs you to really tiny roads. it's hard to access by car, and it probably hard for beginner drivers. but, we asked the staff here, there's actually a bigger road. but google maps often don't choose that road.  the service is also very nice. but after you checked ini, you are required to download an app. you unlock and lock your room, adjust your lights, chat the staff, order food, and many more from the app. so, don't forget your phone inside the room. there's a good side, but also not so practical sometimes. there's also wifi accessable from inside our room.  there's a common areas for barbeque and also a common kitchen with a fridge and a microwave. so you can use it to reheat food orang prepare food. inside the room, there's a water pot to memakai hot water. and although you can order food from this place, it's quite pricey. for me, it's not worth it. a good idea is to bring some instant food and instant drinks with you. orang buy some take away food and reheat it here. also note that if you want to dine ini at a restaurant for dinner, it's a long way and very dark at night. so plan it beforehand guys!  if you want a good view but with comfy soft and fluffy bed, well this is not the place. but if you up for the view and okay with just a futton bed, well you'll be okay.  and one of the things they could improve is the flies! there's plenty of them, and they enter our rooms too. it can be very annoying.  overall, this is a good experience.",a year,Bobocabin Kintamani Bali,"the view of this place is spectacular!! with the cool weather, it's awesome. we go here through google maps. nearing this place it directs you to really tiny roads. it's hard to access by car, and it probably hard for beginner drivers. but, we asked the staff here, there's actually a bigger road. but google maps often don't choose that road.  the service is also very nice. but after you checked ini, you are required to download an app. you unlock and lock your room, adjust your lights, chat the staff, order food, and many more from the app. so, don't forget your phone inside the room. there's a good side, but also not so practical sometimes. there's also wifi accessable from inside our room.  there's a common areas for barbeque and also a common kitchen with a fridge and a microwave. so you can use it to reheat food orang prepare food. inside the room, there's a water pot to memakai hot water. and although you can order food from this place, it's quite pricey. for me, it's not worth it. a good idea is to bring some instant food and instant drinks with you. orang buy some take away food and reheat it here. also note that if you want to dine ini at a restaurant for dinner, it's a long way and very dark at night. so plan it beforehand guys!  if you want a good view but with comfy soft and fluffy bed, well this is not the place. but if you up for the view and okay with just a futton bed, well you'll be okay.  and one of the things they could improve is the flies! there's plenty of them, and they enter our rooms too. it can be very annoying.  overall, this is a good experience."
Nanda Yudha Ikhwan Pradana,5.0,"bobocabin kintamani offers a modern ""camping"" experience in the middle of a relatively rural tourist location. the stunning view of lake batur in the morning and evening and the cool air of bali that cannot be found in denpasar and kuta are the attractions of this place. make sure to prepare thick clothes because at night the cold air is really felt. you can order a grill package at this place with a price comparison with a satisfying portion. the combination of nature tourism and a cabin that uses ""unique"" technology makes the atmosphere unforgettable and difficult to find in other areas. understand the route before leaving because road access is a bit confusing and less suitable for using a city car.",a year,Bobocabin Kintamani Bali,"bobocabin kintamani menawarkan pengalaman ""camping"" yang modern di tengah lokasi wisata yang relatif rural. pemandangan danau batur yang memukau di pagi dan sore hari serta hawa sejuk bali yang tidak bisa ditemukan di denpasar dan kuta menjadi daya tarik bagi tempat ini. pastikan untuk menyiapkan baju tebal karena di malam hari hawa dingin benar-benar terasa. anda dapat memesan paket grill di tempat ini dengan perbandingan harga dengan porsi yang memuaskan. perpaduan antara wisata alam dan kabin penginapan yang menggunakan teknologi ""unik"" membuat suasana menjadi tidak terlupakan dan sulit ditemukan di daerah lain. pahami rute perjalanan sebelum berangkat karena akses jalan sedikit membingungkan dan kurang cocok dilalui menggunakan city car."
denny wijaya,4.0,"i have some issues like the others. google maps bring us to use small road, instead the big one. its suprise me because its very very small road. along the road, you gonna meet children propose you to help you to go bobocabin. and of course with a little money. i have no problem with that.  actually, its difficult to find staff here. if you need any asistance, you can chat via apps, but its gonna take a while.  they provide firewood with 35k.  the room is awesome with hightech. you can use bluetoothe to play some musice. blurry window 😍 and hot water works very well",a year,Bobocabin Kintamani Bali,"i have some issues like the others. google maps bring us to use small road, instead the big one. its suprise me because its very very small road. along the road, you gonna meet children propose you to help you to go bobocabin. and of course with a little money. i have no problem with that.  actually, its difficult to find staff here. if you need any asistance, you can chat via apps, but its gonna take a while.  they provide firewood with 35k.  the room is awesome with hightech. you can use bluetoothe to play some musice. blurry window 😍 and hot water works very well"
Putu Dyah Sartika Sari,4.0,"the place is good, it's better to go there by using a small car, I recommend using the mtr 😁 the road is small, the room is clean, toothbrush and toothpaste are also provided, the hot water runs well and if the day is very hot... it is still in the process of construction, so there are not enough trees for shade",a year,Bobocabin Kintamani Bali,"tempatnya bagus cuma jalan kesana kayaknya lebih enak pakai mobil kecil rekomen ksna sih pakai mtr😁 jalannya kecil juga  kamrnya bersih sudah dped sikat gigi dan odol juga, air panas lancar jaya dan kalo siang panas banget..masih proses membangun jadi kurang pohon pohonnya buat peneduh"
Candra Yusuf Riyanto,5.0,"the view is unmatched, sleep is very sound. hopefully it will improve in the future :)",a year,Bobocabin Kintamani Bali,"pemandangan enggak ada tandingannya, bobo nyenyak banget. semoga semakin meningkat ke depannya :)"
Faisal,1.0,"dont even try to book directly with their website, their booking policy is ridiculous ! we cant even reschedule ini advance",a year,Bobocabin Kintamani Bali,"dont even try to book directly with their website, their booking policy is ridiculous ! we cant even reschedule ini advance"
Alfiyah Ramadian,3.0,"for a non-comparable view, very good. but to get to the location the road is very narrow and still unpaved. You can only enter one car, if you pass the car, you don't know how. there is no gocar so you have to rent and the price is quite expensive, so it is recommended to bring your own vehicle or you can rent it from the city. motorbikes can also be used, but the track is rough, so the road is the only one that brings the family by car. then if you want to come here, it is better to bring your own stock of food, the food prepared here is quite pricey. pop noodles 20k, white rice 15k, fried rice 60k",a year,Bobocabin Kintamani Bali,"untuk view no tanding-tanding, bagus banget. tapi untuk menuju lokasi sangat sempit jalan nya dan masih bertanah belum aspalan. cuma bisa masuk satu mobil saja, kalo pas papasan mobil enggak tau deh bagaimana. enggak ada gocar jadi harus rental dan harganya lumayan mahal, jadi rekomen bawa kendaraan sendiri saja atau bisa rental dari kota. motor bisa juga tapi kayak track kasar begitu loh jalan nya, yang bawa keluarga pakai mobil saja. terus kalo mau kesini lebih baik bawa stok makanan sendiri, makanan yang di sediain disini agak pricey harganya. pop mie 20k, nasi putih 15k, nasi goreng 60k"
Riski Novanda,2.0,"for those who want to go here, it is better to use private vehicles, because there are no online motorcycle taxis and taxis. the road to get here is quite extreme, you need reliable driving skills. the price of food is very overpriced in my opinion (although relative). for example fried rice 60k, pop mie 20k. for those who come here by taxi, prepare more money to go home with a fairly expensive car rental. for example yesterday I rented from Kintamani to Ubud 450k. overall the place is good but there are still many shortcomings and in my opinion it is overpriced. oh yeah one more thing, when the sun is hot in the room it feels hot (the AC is not cold enough) 🥲",a year,Bobocabin Kintamani Bali,"buat yang mau kesini sebaiknya gunakan kendaraan pribadi, karena belum ada ojek online dan taxi. jalanan menuju kesini lumayan ekstrim, perlu kemampuan menyetir yang handal. harga makanan sangat over price menurutku (walaupun relative). contoh nasi goreng 60k, pop mie 20k. buat yang kesini pakai taxi, siapkan duit lebih banyak untuk pulang dengan rental mobil yang cukup mahal. contoh saya kemarin rental dari kintamani ke ubud 450k. overall tempatnya bagus tapi masih banyak kekurangan dan menurut saya over price. ohiya satu lagi, kalau matahari lagi terik di kamar terasa panas (ac kurang dingin) 🥲"
Rosaling Yuliana,3.0,"clean room but food is overpriced, not according to the price. hot tub is a failure, not hot and it takes 6 hours to fill the water only 2 pillows and very thin mattress",a year,Bobocabin Kintamani Bali,"kamar bersih tapi makanan over price, enggak sesuai dengan harga. hot tub nya gagall , tidak panas dan buat full airnya perlu waktu 6 jam bantal cuman 2 dan matras tipis sekali"
Andesita Oki,4.0,"this place is brand new. the view is amazing. and the smart system ini the cabin is quite interesting.  however, the access road is so small. and better not follow guidance from google. because it will direct you to different and worse access road. (the bad thing is they dont have a call center to ask for the direction. everything has to be a chat and not really responsive). you have to be a very good driver to get here.  you can order a bbq set from the menu (including the tools) and better you bring the extra food by yourself since its a bit pricey (you cant bring your own bbq tools).  i stayed ini the cabin which has a hot tub, it was a good decision, since we can enjoy the hot spring water while having the bbq.  fire pit are provided, and you can ask for the firewood for 35k.",a year,Bobocabin Kintamani Bali,"this place is brand new. the view is amazing. and the smart system ini the cabin is quite interesting.  however, the access road is so small. and better not follow guidance from google. because it will direct you to different and worse access road. (the bad thing is they dont have a call center to ask for the direction. everything has to be a chat and not really responsive). you have to be a very good driver to get here.  you can order a bbq set from the menu (including the tools) and better you bring the extra food by yourself since its a bit pricey (you cant bring your own bbq tools).  i stayed ini the cabin which has a hot tub, it was a good decision, since we can enjoy the hot spring water while having the bbq.  fire pit are provided, and you can ask for the firewood for 35k."
I nyoman Muliawan,5.0,the place is very comfortable,a year,Bobocabin Kintamani Bali,tempatnya nyaman banget
Astri Novirianty,5.0,"the room is good, but if the shower leaks out of the room, the water stagnates. very nice overalls! btw here from 9 am to 5 pm there must be a lot of flies and it must be very hot, but the AC helps. (I was given a mosquito racket to fight with flies) 😂",a year,Bobocabin Kintamani Bali,"kamarnya bagus, tapi kalau mandi rembes keluar ruangan, air nya menggenang. overall bagus banget! btw disini dari jam 9 pagi sampai 5sore pasti buanyak banget laler dan yang pasti panas sekali, tapi kebantu ac. (aku dikasih raket nyamuk untuk perang dengan lalat) 😂"
ady dfg,1.0,"the location so hard to find. don't use car when lu come here. if lu follow google maps, lu will get stuck. luckily some locals help us",a year,Bobocabin Kintamani Bali,"the location so hard to find. don't use car when lu come here. if lu follow google maps, lu will get stuck. luckily some locals help us"
Trip.com Member,1.7,"after driving over 3 hours to the site from seminyak, we are challenged to a heart stopping of an estimated 600 meters of a 2 meter wide damaged and off-road experience to the 'hotel'. lucky for us, we dont find a car going against our …",a year,Bobocabin Kintamani Bali,"after driving over 3 hours to the site from seminyak, we are challenged to a heart stopping of an estimated 600 meters of a 2 meter wide damaged and off-road experience to the 'hotel'. lucky for us, we dont find a car going against our …"
Risna Cahyati,5.0,awesome view!!  prepare your jacket as it's quite cold.  the road was challenging. but all is worth it when you're there!,a year,Bobocabin Kintamani Bali,awesome view!!  prepare your jacket as it's quite cold.  the road was challenging. but all is worth it when you're there!
Susan Atmojo,5.0,"modern camping with a view of the lake and Mount Batur, located at the top with a beautiful modern cabin, the cabin interior is quite impressive, operated sophisticatedly, cool, worth trying, good experience anyway.",a year,Bobocabin Kintamani Bali,"modern camping dengan view danau dan gunung batur, terletak paling atas dengan cabin modern yang cantik, cukup mengesankan interior cabinnya, dioperasikan dengan canggih, keren layak dicoba, good experience deh pokoknya."
emi p,5.0,"amazing view from inside cabin, smart glamping concept & minimalist building, everything is online, you can bbq and self service to make our camp experience more enjoyable...",2 years,Bobocabin Kintamani Bali,"amazing view from inside cabin, konsep smart glamping & bangunan minimalis semuanya serba online bisa bbq an self service buat camp kita lebih dapat experience nya.."
IWayan Wena,5.0,"Located in a hill area with views of Lake Batur and the mountains, service and friendliness need to be improved",2 years,Bobocabin Kintamani Bali,"berada di daerah bukit dengan nuansa view danau batur dan gunung.,pelayanan dan keramahan perlu ditingkatkan"
Agustinus Lyanto,1.0,"very not recommended, the price of 1 million for the room and the service is not appropriate. the room is very small, the thin mattress is very hard making it difficult for me to sleep, the bathroom cannot be locked, when taking a shower the water flows out, for the room view it's ok.. for the service order fried rice 2x the price of 40k, both the rice is hard and the taste is standard.. the facilities are also minimal and many flies in the morning can enter the room.. just 1x and will not come back again..",2 years,Bobocabin Kintamani Bali,"sangat tidak rekomendasi, harga 1jt untuk kamar dan pelayanan tidak sesuai. kamar sangat kecil, kasur tipis sangat keras membuat saya kesulitan tidur, kamar mandi tidak bisa dikunci, kalo mandi airnya mengalir sampai keluar, untuk view kamar ok lah bagus.. untuk pelayanan pesan nasi goreng 2x harga 40k, dua-duanya nasinya keras dan rasanya standar.. fasilitas juga minim dan banyak lalat di pagi hari bisa masuk kamar.. cukup 1x dan tidak akan kembali lagi.."
celine decella,3.0,"not worth the price. the mattress is hard like a board, there is a disturbing sound near the mattress like from the system, minimal facilities",2 years,Bobocabin Kintamani Bali,"not worth the price. kasur keras seperti papan, di dekat kasur ada suara yang mengganggu seperti dari sistemnya begitu, fasilitas minim"
Jokowi,5.0,"perfect, just a father who karaokes...",2 years,Bobocabin Kintamani Bali,"sempurna, cuman bapak yang karaoke…"
Kristoforus Hakim,5.0,"the actual location does not match the one on google maps, the road goes up a bit then turns left twice. the view is really great. the trip here is all worth it.",2 years,Bobocabin Kintamani Bali,"lokasi asli enggak sesuai dengan yang di google maps, jalan agak naik dikit terus belok kiri 2x. viewnya juara banget. perjalanan kesini terbayarkan semua."
shika,4.0,"pretty nice and neat place, it's just that the road to go to the bobocabin is kinda rusty and rocky. but overall everything else is good. i like it",2 years,Bobocabin Kintamani Bali,"pretty nice and neat place, it's just that the road to go to the bobocabin is kinda rusty and rocky. but overall everything else is good. i like it"
Tut Paris,5.0,the location is great. you can get a great view from there.,2 years,Bobocabin Kintamani Bali,the location is great. you can get a great view from there.
bay dowy,5.0,very good,2 years,Bobocabin Kintamani Bali,sangat bagus
Priscilla Pardede,5.0,"just soft launching in kintamani. so not 100% ready yet. some room types are not ready yet. but on their website it says sold. but the place is really good, the view is really nice. makes you want to come back again. there is private parking but no roof. only access road is bad. short car wasalam. too close to the neighboring camp, so if they sing until night, their voices will leak to the bobo cabin area (even though they already have quiet hours rules, nothing you can do about it).",2 years,Bobocabin Kintamani Bali,"baru soft launching di kintamani. jadi belum 100% ready. type kamar ada yang belum ready. tapi di web mereka ditulis sold. tapi tempat nya oke banget, viewnya bagus banget. bikin pengin balik lagi. parkiran private ada tapi enggak ada atep. akses saja yang jlnnya parah. mobil pendek wasalam. terlalu dekat sama camp tetangga sebelah, jadi kalo mereka nyanyi2 sampai malam ya bocor2 juga suaranya ke area bobo cabin (padahal mereka sudah ada rules quiet hours begitu, nothing you can di about it)."
Wahyu Satrio Ardiko,4.0,"the location is awesome! from the cabin you can sih a magnificent view of lake batur, trunyan hill and abang mountain. the cabin itself is actually ok, though ini my cabin the shower water leaked out to the bedroom, which was quite annoying. the digital panel, which they're proud of, worked pretty well. however, during a sunny morning orang day when the sun is exactly at your big window, the room could become very hot! the shade from the window is not sufficient to reduce the bright light, as well as the heat. i understand that a curtain would memakai the room look less attractive, but for this case i think an addition of a curtain could help to reduce the heat and the light ini the sunny morning.  the access to the cabin was not that bad during my visit on june 2022. while it was not perfect, i could drive my rented toyota agya to the location with no problem.",2 years,Bobocabin Kintamani Bali,"the location is awesome! from the cabin you can sih a magnificent view of lake batur, trunyan hill and abang mountain. the cabin itself is actually ok, though ini my cabin the shower water leaked out to the bedroom, which was quite annoying. the digital panel, which they're proud of, worked pretty well. however, during a sunny morning orang day when the sun is exactly at your big window, the room could become very hot! the shade from the window is not sufficient to reduce the bright light, as well as the heat. i understand that a curtain would memakai the room look less attractive, but for this case i think an addition of a curtain could help to reduce the heat and the light ini the sunny morning.  the access to the cabin was not that bad during my visit on june 2022. while it was not perfect, i could drive my rented toyota agya to the location with no problem."
maria ovy sonia,4.0,"Not bad, suitable for those who want a less crowded atmosphere. The bathroom is actually clean, only the door area should be sealed so that water from the shower area does not seep into the toilet area, this makes it minus one star",2 years,Bobocabin Kintamani Bali,"lumayan, cocok untuk yang ingin suasana tidak twelalu ramai. kamar mandi sebenarnya bersih hanya saja area pintu seharusnya diberi seal agar air dari area shower tidak merembes ke area toilet, ini bikin bintangnya kurang satu"
Salsa Fedayeen,5.0,best experience i ever had and staff from bobocabin very friendly,2 years,Bobocabin Kintamani Bali,best experience i ever had and staff from bobocabin very friendly
Ryan Hartono,4.0,"really nice services and place is brand new, however, the access is confusing, google maps doesn't not give good guidance, better off ask the locals as everybody else is lost too trying to reach the place; really confusing  through small small road.  views are amazing, you can get bbq set if you purchase their bbq/shabu set (starting 150k+), can bring extra food from outside but not allowed to bring your own bbq tools.  there are fire pits and you can use them by buying firewood for 35k/bundle.  restaurant is open the whole day with affordable price.  all ini all great batur lake/mountain experience, perfect for couple and family, although with the current facilities feels a bit pricey.",2 years,Bobocabin Kintamani Bali,"really nice services and place is brand new, however, the access is confusing, google maps doesn't not give good guidance, better off ask the locals as everybody else is lost too trying to reach the place; really confusing  through small small road.  views are amazing, you can get bbq set if you purchase their bbq/shabu set (starting 150k+), can bring extra food from outside but not allowed to bring your own bbq tools.  there are fire pits and you can use them by buying firewood for 35k/bundle.  restaurant is open the whole day with affordable price.  all ini all great batur lake/mountain experience, perfect for couple and family, although with the current facilities feels a bit pricey."
dwi yp,5.0,"really perfect bobocabin, apart from being comfortable, the service is very good, polite, very nice place, will come back here 🥰",2 years,Bobocabin Kintamani Bali,"perfect banget bobocabin, selain nyaman pelayanan sangat baik, sopan tempat bagus banget  bakal balik ke sinii 🥰"
Jerry Diamond,5.0,"perfect place, cool, comfortable",2 years,Bobocabin Kintamani Bali,"perfect place, adem dingin nyaman"
Moya Collections,5.0,luxurious,2 years,Bobocabin Kintamani Bali,luxurious
Azarya Prakasa,5.0,"nice view, nice cabin, great ambience",2 years,Bobocabin Kintamani Bali,"nice view, nice cabin, great ambience"
Dhany Romeo Aldebaran,5.0,amazing view,2 years,Bobocabin Kintamani Bali,amazing view
Rifky Irianto,5.0,very comfortable,2 years,Bobocabin Kintamani Bali,sangat nyaman
arif budiana,5.0,best place to rest and chill near danau batur,2 years,Bobocabin Kintamani Bali,best place to rest and chill near danau batur
neuneu,5.0,"private, quite, nice place to stay.",3 days,Bobocabin Madasari Pangandaran,"private, quite, nice place to stay."
Tyas P,5.0,"bobocabin pangandaran is an idyllic retreat that offers a serene and private beachside experience. nestled among lush greenery, the cabin provides a picturesque view of the beach from the comfort of your smart window, allowing guests to immerse themselves ini nature's tranquility.  one of the standout features of this cabin is its proximity to the beach. from dawn to dusk, the gentle sound of waves creates a soothing soundtrack that enhances the overall peaceful ambiance of the stay. the staff are helpful and kind but warm of breakfast and readiness of food/beverages (not instant food) still need to be improved.",a week,Bobocabin Madasari Pangandaran,"bobocabin pangandaran is an idyllic retreat that offers a serene and private beachside experience. nestled among lush greenery, the cabin provides a picturesque view of the beach from the comfort of your smart window, allowing guests to immerse themselves ini nature's tranquility.  one of the standout features of this cabin is its proximity to the beach. from dawn to dusk, the gentle sound of waves creates a soothing soundtrack that enhances the overall peaceful ambiance of the stay. the staff are helpful and kind but warm of breakfast and readiness of food/beverages (not instant food) still need to be improved."
Dias Taradhika,5.0,"clean, neat, futuristic, cozy, kids friendly beach, fragrant and delicious liwet rice, responsive staff, super cold AC, calm, quiet atmosphere, suitable for those who need peace from the hustle and bustle of the city, romantic night atmosphere with calm lighting, clean taps, beach sand is available in abundance, and everywhere the view of the sea is also very good, there are tables and chairs, you can hang out while looking at the sea from the cliff. private beach facilities. really like it, not crowded, not noisy, lots of trash cans and very adequate .. the minus, but because of nature, is only anopheles mosquitoes in some dense bushes, and some marine debris that is stranded due to the sweep of the ocean waves (not much, but it can be collected and cleaned for the convenience of visitors)",a week,Bobocabin Madasari Pangandaran,"kamar bersih, rapi, futuristik, cozy pantainya kids friendly, nasi liwetnya wangi dan enak, stafnya responsif ac super dingin suasana tenang, sepi, cocok buat bagi yang butuh ketenangan dari hiruk pikuk kota suasana malam syahdu dengan tata lampu yang calm keran bersih-bersih pasir pantai tersedia banyak, dan dimana-mana titik pandang lautnya juga bagus banget ada meja kursi, bisa nongkrong sambil lihat laut dari tebing. fasilitas private beaach.suka banget deh, enggak rame, enggak berisik, tempat sampah buanyaaaak  dan sangat memadai..  minusnya, tapi karena alam sih, cuma nyamuk anopheles di beberapa semak yang rimbun, dan beberapa sampah laut yang terdampar karena sapuan ombak lautan (enggak banyak, tapi bisalah dikumpulkan dan dibersihkan demi kenyamanan pengunjung)"
Rani Rdm,5.0,"cool, must try! kids love it because they can go straight to the beach 🥰 for a full review on youtube ""ricky farici"" 🙏🏻🥰",3 weeks,Bobocabin Madasari Pangandaran,"keren ,, wajib coba ! anak anak suka sekali karena bisa langsung ke pantai 🥰  untuk review lengkapnya ada di youtube “ ricky farici “ 🙏🏻🥰"
Amalia Arisandi (aMeL),5.0,"we stayed overnight here on the uphill cabin, so the view right from our window was totally breath taking.  it was great knowing that every menu we ordered for dinner was all ready stock. the staffs are friendly and responsive.  so they have this bobocabin apps that we need to download, to facilitate every single transaction we di ini this resort, very helpful  remember to catch beautiful sunrise and stroll along the beach on both sides of this resort, totally amazing ❤️",3 weeks,Bobocabin Madasari Pangandaran,"we stayed overnight here on the uphill cabin, so the view right from our window was totally breath taking.  it was great knowing that every menu we ordered for dinner was all ready stock. the staffs are friendly and responsive.  so they have this bobocabin apps that we need to download, to facilitate every single transaction we di ini this resort, very helpful  remember to catch beautiful sunrise and stroll along the beach on both sides of this resort, totally amazing ❤️"
Beany Sudjana,5.0,nice place for healing. price is affordable front private beach,3 weeks,Bobocabin Madasari Pangandaran,nice place for healing. price is affordable front private beach
Harry,4.0,"location right on the beach, sea view with the sound of roaring waves. the location is hidden with a private beach. the distance between the cabins is quite far, with large glass windows facing the sea. glass with a sophisticated system can be blurred with the application. there are glass windows on the side and top too. so you can see the night sky. the lights use like large led striplights that can be controlled from the bobocabin application or tablet in the cabin equipped with speakers that have built-in river or wave sound settings. the room is quite clean, but there are insects, maybe because the windows and doors are not tight enough. the air conditioner doesn't seem cold enough and there are water droplets. in the lobby the receptionist sells snacks, drinks and food that can be heated.",a month,Bobocabin Madasari Pangandaran,"lokasi persis pinggir pantai, pemandangan laut dengan suara ombak yang menderu deru. lokasi nya tersembunyi dengan pantai private.  jarak antara kabin lumayan jauh, dengan kaca jendela besar yang menghadap laut. kaca dengan sistem canggih bisa bikin blur dengan aplikasi. ada jendela kaca di bagian samping dan atas juga. jadi bisa lihat langit malam. lampunya pakai kayak led striplight yang besar bisa dikontrol dari aplikasi bobocabin atau tablet yang ada di kabin dilengkapi speaker yang ada pengaturan bawaan suara sungai atau ombak.  kamar lumayan bersih, tapi ada serangga, mungkin karena kurang rapat di jendela dan pintunya. ac kayak kurang dingin dan ada tetesan air.  di lobby respsionisnya ada jual snack, minuman dan makanan rte tinggal dipanasin."
